"Plot Title:  20854927"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854927, SEN S/N: 20854927, LBL: AT)","RH, % (LGR S/N: 20854927, SEN S/N: 20854927, LBL: RH)","Coupler Detached (LGR S/N: 20854927)","Coupler Attached (LGR S/N: 20854927)","Host Connected (LGR S/N: 20854927)","Stopped (LGR S/N: 20854927)","End Of File (LGR S/N: 20854927)"
163,07.23.20 klo 09.00.00 ip.,20.525,48.205,,,,,
164,07.23.20 klo 09.30.00 ip.,20.568,48.205,,,,,
165,07.23.20 klo 10.00.00 ip.,20.568,48.156,,,,,
166,07.23.20 klo 10.30.00 ip.,20.568,48.107,,,,,
167,07.23.20 klo 11.00.00 ip.,20.611,48.107,,,,,
168,07.23.20 klo 11.30.00 ip.,20.611,48.059,,,,,
169,07.24.20 klo 12.00.00 ap.,20.654,48.034,,,,,
170,07.24.20 klo 12.30.00 ap.,20.654,48.059,,,,,
171,07.24.20 klo 01.00.00 ap.,20.740,48.034,,,,,
172,07.24.20 klo 01.30.00 ap.,20.697,47.985,,,,,
173,07.24.20 klo 02.00.00 ap.,20.697,48.010,,,,,
174,07.24.20 klo 02.30.00 ap.,20.740,47.961,,,,,
175,07.24.20 klo 03.00.00 ap.,20.697,47.961,,,,,
176,07.24.20 klo 03.30.00 ap.,20.782,47.937,,,,,
177,07.24.20 klo 04.00.00 ap.,20.782,47.912,,,,,
178,07.24.20 klo 04.30.00 ap.,20.782,47.888,,,,,
179,07.24.20 klo 05.00.00 ap.,20.782,47.888,,,,,
180,07.24.20 klo 05.30.00 ap.,20.782,47.863,,,,,
181,07.24.20 klo 06.00.00 ap.,20.782,47.839,,,,,
182,07.24.20 klo 06.30.00 ap.,20.782,47.839,,,,,
183,07.24.20 klo 07.00.00 ap.,20.782,47.814,,,,,
184,07.24.20 klo 07.30.00 ap.,20.782,47.814,,,,,
185,07.24.20 klo 08.00.00 ap.,20.782,47.741,,,,,
186,07.24.20 klo 08.30.00 ap.,20.825,47.766,,,,,
187,07.24.20 klo 09.00.00 ap.,20.825,47.717,,,,,
188,07.24.20 klo 09.30.00 ap.,20.782,47.717,,,,,
189,07.24.20 klo 10.00.00 ap.,20.740,47.717,,,,,
190,07.24.20 klo 10.30.00 ap.,20.825,47.643,,,,,
191,07.24.20 klo 11.00.00 ap.,20.825,47.741,,,,,
192,07.24.20 klo 11.30.00 ap.,20.868,47.741,,,,,
193,07.24.20 klo 12.00.00 ip.,20.911,47.790,,,,,
194,07.24.20 klo 12.30.00 ip.,20.954,47.863,,,,,
195,07.24.20 klo 01.00.00 ip.,20.997,47.863,,,,,
196,07.24.20 klo 01.30.00 ip.,20.997,47.863,,,,,
197,07.24.20 klo 02.00.00 ip.,20.997,47.912,,,,,
198,07.24.20 klo 02.30.00 ip.,21.040,47.888,,,,,
199,07.24.20 klo 03.00.00 ip.,20.954,47.888,,,,,
200,07.24.20 klo 03.30.00 ip.,20.954,47.863,,,,,
201,07.24.20 klo 04.00.00 ip.,20.954,47.888,,,,,
202,07.24.20 klo 04.30.00 ip.,20.954,47.912,,,,,
203,07.24.20 klo 05.00.00 ip.,20.954,47.888,,,,,
204,07.24.20 klo 05.30.00 ip.,20.954,47.937,,,,,
205,07.24.20 klo 06.00.00 ip.,20.954,47.912,,,,,
206,07.24.20 klo 06.30.00 ip.,20.954,47.937,,,,,
