"Plot Title:  20849268"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849268, SEN S/N: 20849268, LBL: AT)","RH, % (LGR S/N: 20849268, SEN S/N: 20849268, LBL: RH)","Coupler Detached (LGR S/N: 20849268)","Coupler Attached (LGR S/N: 20849268)","Host Connected (LGR S/N: 20849268)","Stopped (LGR S/N: 20849268)","End Of File (LGR S/N: 20849268)"
252,07.25.20 klo 05.30.00 ip.,21.040,48.694,,,,,
253,07.25.20 klo 06.00.00 ip.,20.997,48.742,,,,,
254,07.25.20 klo 06.30.00 ip.,21.040,48.669,,,,,
255,07.25.20 klo 07.00.00 ip.,20.997,48.620,,,,,
256,07.25.20 klo 07.30.00 ip.,20.997,48.596,,,,,
257,07.25.20 klo 08.00.00 ip.,20.997,48.620,,,,,
258,07.25.20 klo 08.30.00 ip.,20.997,48.547,,,,,
259,07.25.20 klo 09.00.00 ip.,20.997,48.498,,,,,
260,07.25.20 klo 09.30.00 ip.,20.997,48.449,,,,,
261,07.25.20 klo 10.00.00 ip.,20.954,48.425,,,,,
262,07.25.20 klo 10.30.00 ip.,20.954,48.376,,,,,
263,07.25.20 klo 11.00.00 ip.,20.911,48.327,,,,,
264,07.25.20 klo 11.30.00 ip.,20.954,48.303,,,,,
265,07.26.20 klo 12.00.00 ap.,20.911,48.278,,,,,
266,07.26.20 klo 12.30.00 ap.,20.911,48.278,,,,,
267,07.26.20 klo 01.00.00 ap.,20.911,48.254,,,,,
268,07.26.20 klo 01.30.00 ap.,20.911,48.205,,,,,
269,07.26.20 klo 02.00.00 ap.,20.954,48.230,,,,,
270,07.26.20 klo 02.30.00 ap.,20.954,48.181,,,,,
271,07.26.20 klo 03.00.00 ap.,20.954,48.132,,,,,
272,07.26.20 klo 03.30.00 ap.,20.954,48.156,,,,,
273,07.26.20 klo 04.00.00 ap.,20.997,48.156,,,,,
274,07.26.20 klo 04.30.00 ap.,20.997,48.156,,,,,
275,07.26.20 klo 05.00.00 ap.,21.040,48.181,,,,,
276,07.26.20 klo 05.30.00 ap.,21.040,48.181,,,,,
277,07.26.20 klo 06.00.00 ap.,21.040,48.156,,,,,
278,07.26.20 klo 06.30.00 ap.,21.083,48.132,,,,,
279,07.26.20 klo 07.00.00 ap.,21.083,48.132,,,,,
280,07.26.20 klo 07.30.00 ap.,21.083,48.181,,,,,
281,07.26.20 klo 08.00.00 ap.,21.126,48.156,,,,,
282,07.26.20 klo 08.30.00 ap.,21.126,48.181,,,,,
283,07.26.20 klo 09.00.00 ap.,21.126,48.156,,,,,
284,07.26.20 klo 09.30.00 ap.,21.126,48.181,,,,,
285,07.26.20 klo 10.00.00 ap.,21.169,48.205,,,,,
286,07.26.20 klo 10.30.00 ap.,21.169,48.156,,,,,
287,07.26.20 klo 11.00.00 ap.,21.169,48.156,,,,,
288,07.26.20 klo 11.30.00 ap.,21.169,48.205,,,,,
289,07.26.20 klo 12.00.00 ip.,21.169,48.181,,,,,
290,07.26.20 klo 12.30.00 ip.,21.169,48.205,,,,,
291,07.26.20 klo 01.00.00 ip.,21.126,48.181,,,,,
292,07.26.20 klo 01.30.00 ip.,21.083,48.181,,,,,
293,07.26.20 klo 02.00.00 ip.,21.040,48.132,,,,,
294,07.26.20 klo 02.30.00 ip.,20.997,48.156,,,,,
295,07.26.20 klo 03.00.00 ip.,20.997,48.132,,,,,
296,07.26.20 klo 03.30.00 ip.,20.954,48.181,,,,,
297,07.26.20 klo 04.00.00 ip.,20.954,48.156,,,,,
298,07.26.20 klo 04.30.00 ip.,20.997,48.156,,,,,
299,07.26.20 klo 05.00.00 ip.,20.997,48.181,,,,,
300,07.26.20 klo 05.30.00 ip.,20.997,48.230,,,,,
301,07.26.20 klo 06.00.00 ip.,21.040,48.205,,,,,
302,07.26.20 klo 06.30.00 ip.,21.040,48.254,,,,,
303,07.26.20 klo 07.00.00 ip.,21.040,48.230,,,,,
304,07.26.20 klo 07.30.00 ip.,21.040,48.254,,,,,
305,07.26.20 klo 08.00.00 ip.,21.040,48.254,,,,,
306,07.26.20 klo 08.30.00 ip.,21.040,48.327,,,,,
307,07.26.20 klo 09.00.00 ip.,21.083,48.327,,,,,
308,07.26.20 klo 09.30.00 ip.,21.126,48.303,,,,,
309,07.26.20 klo 10.00.00 ip.,21.083,48.327,,,,,
310,07.26.20 klo 10.30.00 ip.,21.126,48.352,,,,,
311,07.26.20 klo 11.00.00 ip.,21.126,48.376,,,,,
312,07.26.20 klo 11.30.00 ip.,21.126,48.327,,,,,
313,07.27.20 klo 12.00.00 ap.,21.083,48.327,,,,,
314,07.27.20 klo 12.30.00 ap.,21.040,48.400,,,,,
315,07.27.20 klo 01.00.00 ap.,20.997,48.376,,,,,
316,07.27.20 klo 01.30.00 ap.,20.997,48.400,,,,,
317,07.27.20 klo 02.00.00 ap.,20.997,48.449,,,,,
318,07.27.20 klo 02.30.00 ap.,21.040,48.425,,,,,
319,07.27.20 klo 03.00.00 ap.,21.040,48.474,,,,,
320,07.27.20 klo 03.30.00 ap.,21.083,48.474,,,,,
321,07.27.20 klo 04.00.00 ap.,21.083,48.523,,,,,
