"Plot Title:  20849236"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849236, SEN S/N: 20849236)","RH, % (LGR S/N: 20849236, SEN S/N: 20849236)","Coupler Detached (LGR S/N: 20849236)","Bad Battery (LGR S/N: 20849236)","Good Battery (LGR S/N: 20849236)","Coupler Attached (LGR S/N: 20849236)","Host Connected (LGR S/N: 20849236)","Stopped (LGR S/N: 20849236)","End Of File (LGR S/N: 20849236)"
143,08.19.20 klo 01.57.08 ip.,22.198,38.095,,,,,,,
144,08.19.20 klo 02.27.08 ip.,22.327,37.998,,,,,,,
145,08.19.20 klo 02.57.08 ip.,22.413,37.875,,,,,,,
146,08.19.20 klo 03.27.08 ip.,22.584,37.705,,,,,,,
147,08.19.20 klo 03.57.08 ip.,22.713,37.778,,,,,,,
148,08.19.20 klo 04.27.08 ip.,22.756,37.680,,,,,,,
149,08.19.20 klo 04.57.08 ip.,22.842,37.509,,,,,,,
150,08.19.20 klo 05.27.08 ip.,22.670,37.509,,,,,,,
151,08.19.20 klo 05.57.08 ip.,22.799,37.534,,,,,,,
152,08.19.20 klo 06.27.08 ip.,22.756,37.411,,,,,,,
153,08.19.20 klo 06.57.08 ip.,22.584,37.363,,,,,,,
154,08.19.20 klo 07.27.08 ip.,22.456,37.289,,,,,,,
155,08.19.20 klo 07.57.08 ip.,22.241,37.363,,,,,,,
156,08.19.20 klo 08.27.08 ip.,22.155,37.338,,,,,,,
157,08.19.20 klo 08.57.08 ip.,22.069,37.436,,,,,,,
158,08.19.20 klo 09.27.08 ip.,22.027,37.509,,,,,,,
159,08.19.20 klo 09.57.08 ip.,21.898,37.582,,,,,,,
160,08.19.20 klo 10.27.08 ip.,21.812,37.607,,,,,,,
161,08.19.20 klo 10.57.08 ip.,21.898,37.729,,,,,,,
162,08.19.20 klo 11.27.08 ip.,21.855,37.924,,,,,,,
163,08.19.20 klo 11.57.08 ip.,21.812,37.949,,,,,,,
164,08.20.20 klo 12.27.08 ap.,21.812,37.802,,,,,,,
165,08.20.20 klo 12.57.08 ap.,21.726,37.753,,,,,,,
166,08.20.20 klo 01.27.08 ap.,21.683,37.705,,,,,,,
167,08.20.20 klo 01.57.08 ap.,21.640,37.607,,,,,,,
168,08.20.20 klo 02.27.08 ap.,21.640,37.509,,,,,,,
169,08.20.20 klo 02.57.08 ap.,21.640,37.436,,,,,,,
170,08.20.20 klo 03.27.08 ap.,21.640,37.265,,,,,,,
171,08.20.20 klo 03.57.08 ap.,21.640,37.338,,,,,,,
172,08.20.20 klo 04.27.08 ap.,21.640,37.265,,,,,,,
173,08.20.20 klo 04.57.08 ap.,21.598,37.094,,,,,,,
174,08.20.20 klo 05.27.08 ap.,21.598,37.094,,,,,,,
175,08.20.20 klo 05.57.08 ap.,21.598,37.021,,,,,,,
176,08.20.20 klo 06.27.08 ap.,21.555,36.996,,,,,,,
177,08.20.20 klo 06.57.08 ap.,21.640,36.996,,,,,,,
178,08.20.20 klo 07.27.08 ap.,21.640,36.923,,,,,,,
179,08.20.20 klo 07.57.08 ap.,21.640,36.972,,,,,,,
180,08.20.20 klo 08.27.08 ap.,21.683,37.241,,,,,,,
181,08.20.20 klo 08.57.08 ap.,21.683,37.534,,,,,,,
182,08.20.20 klo 09.27.08 ap.,21.726,37.460,,,,,,,
183,08.20.20 klo 09.57.08 ap.,21.726,37.411,,,,,,,
