"Plot Title:  20849263"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849263, SEN S/N: 20849263, LBL: AT)","RH, % (LGR S/N: 20849263, SEN S/N: 20849263, LBL: RH)","Coupler Detached (LGR S/N: 20849263)","Bad Battery (LGR S/N: 20849263)","Good Battery (LGR S/N: 20849263)","Coupler Attached (LGR S/N: 20849263)","Host Connected (LGR S/N: 20849263)","Stopped (LGR S/N: 20849263)","End Of File (LGR S/N: 20849263)"
199,07.16.20 klo 03.00.00 ip.,18.938,52.259,,,,,,,
200,07.16.20 klo 03.30.00 ip.,19.109,52.479,,,,,,,
201,07.16.20 klo 04.00.00 ip.,19.281,52.869,,,,,,,
202,07.16.20 klo 04.30.00 ip.,19.624,53.358,,,,,,,
203,07.16.20 klo 05.00.00 ip.,19.967,53.944,,,,,,,
204,07.16.20 klo 05.30.00 ip.,20.311,54.432,,,,,,,
205,07.16.20 klo 06.00.00 ip.,20.611,54.823,,,,,,,
206,07.16.20 klo 06.30.00 ip.,20.911,55.092,,,,,,,
207,07.16.20 klo 07.00.00 ip.,21.126,55.116,,,,,,,
208,07.16.20 klo 07.30.00 ip.,21.254,54.921,,,,,,,
209,07.16.20 klo 08.00.00 ip.,21.254,54.701,,,,,,,
210,07.16.20 klo 08.30.00 ip.,21.211,54.481,,,,,,,
211,07.16.20 klo 09.00.00 ip.,21.254,54.237,,,,,,,
212,07.16.20 klo 09.30.00 ip.,21.169,53.993,,,,,,,
213,07.16.20 klo 10.00.00 ip.,21.083,53.748,,,,,,,
214,07.16.20 klo 10.30.00 ip.,20.911,53.480,,,,,,,
215,07.16.20 klo 11.00.00 ip.,20.740,53.187,,,,,,,
216,07.16.20 klo 11.30.00 ip.,20.525,52.845,,,,,,,
217,07.17.20 klo 12.00.00 ap.,20.225,52.454,,,,,,,
218,07.17.20 klo 12.30.00 ap.,19.924,52.039,,,,,,,
219,07.17.20 klo 01.00.00 ap.,19.538,51.624,,,,,,,
220,07.17.20 klo 01.30.00 ap.,19.066,51.136,,,,,,,
221,07.17.20 klo 02.00.00 ap.,18.637,50.647,,,,,,,
222,07.17.20 klo 02.30.00 ap.,18.123,50.085,,,,,,,
223,07.17.20 klo 03.00.00 ap.,17.565,49.597,,,,,,,
224,07.17.20 klo 03.30.00 ap.,17.050,49.060,,,,,,,
225,07.17.20 klo 04.00.00 ap.,16.492,48.571,,,,,,,
226,07.17.20 klo 04.30.00 ap.,15.935,48.156,,,,,,,
227,07.17.20 klo 05.00.00 ap.,15.377,47.643,,,,,,,
