"Plot Title: 20854946"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854946, SEN S/N: 20854946, LBL: AT)","RH, % (LGR S/N: 20854946, SEN S/N: 20854946, LBL: RH)","Coupler Detached (LGR S/N: 20854946)","Coupler Attached (LGR S/N: 20854946)","Host Connected (LGR S/N: 20854946)","Stopped (LGR S/N: 20854946)","End Of File (LGR S/N: 20854946)"
166,07.23.20 klo 10.30.00 ip.,20.525,47.692,,,,,
167,07.23.20 klo 11.00.00 ip.,20.568,47.717,,,,,
168,07.23.20 klo 11.30.00 ip.,20.611,47.668,,,,,
169,07.24.20 klo 12.00.00 ap.,20.654,47.668,,,,,
170,07.24.20 klo 12.30.00 ap.,20.654,47.692,,,,,
171,07.24.20 klo 01.00.00 ap.,20.654,47.595,,,,,
172,07.24.20 klo 01.30.00 ap.,20.697,47.619,,,,,
173,07.24.20 klo 02.00.00 ap.,20.697,47.668,,,,,
174,07.24.20 klo 02.30.00 ap.,20.697,47.643,,,,,
175,07.24.20 klo 03.00.00 ap.,20.740,47.668,,,,,
176,07.24.20 klo 03.30.00 ap.,20.740,47.692,,,,,
177,07.24.20 klo 04.00.00 ap.,20.740,47.643,,,,,
178,07.24.20 klo 04.30.00 ap.,20.740,47.595,,,,,
179,07.24.20 klo 05.00.00 ap.,20.740,47.643,,,,,
180,07.24.20 klo 05.30.00 ap.,20.740,47.595,,,,,
181,07.24.20 klo 06.00.00 ap.,20.740,47.570,,,,,
182,07.24.20 klo 06.30.00 ap.,20.740,47.521,,,,,
183,07.24.20 klo 07.00.00 ap.,20.740,47.497,,,,,
184,07.24.20 klo 07.30.00 ap.,20.740,47.497,,,,,
185,07.24.20 klo 08.00.00 ap.,20.740,47.448,,,,,
186,07.24.20 klo 08.30.00 ap.,20.740,47.497,,,,,
187,07.24.20 klo 09.00.00 ap.,20.740,47.448,,,,,
188,07.24.20 klo 09.30.00 ap.,20.740,47.448,,,,,
189,07.24.20 klo 10.00.00 ap.,20.782,47.497,,,,,
190,07.24.20 klo 10.30.00 ap.,20.825,47.570,,,,,
191,07.24.20 klo 11.00.00 ap.,20.911,47.717,,,,,
192,07.24.20 klo 11.30.00 ap.,20.997,47.814,,,,,
193,07.24.20 klo 12.00.00 ip.,21.040,47.888,,,,,
194,07.24.20 klo 12.30.00 ip.,21.126,48.059,,,,,
195,07.24.20 klo 01.00.00 ip.,21.126,48.132,,,,,
196,07.24.20 klo 01.30.00 ip.,21.040,48.254,,,,,
197,07.24.20 klo 02.00.00 ip.,20.997,48.327,,,,,
198,07.24.20 klo 02.30.00 ip.,20.997,48.400,,,,,
199,07.24.20 klo 03.00.00 ip.,20.997,48.425,,,,,
200,07.24.20 klo 03.30.00 ip.,20.911,48.400,,,,,
201,07.24.20 klo 04.00.00 ip.,20.911,48.449,,,,,
202,07.24.20 klo 04.30.00 ip.,20.911,48.400,,,,,
203,07.24.20 klo 05.00.00 ip.,20.868,48.425,,,,,
204,07.24.20 klo 05.30.00 ip.,20.868,48.425,,,,,
205,07.24.20 klo 06.00.00 ip.,20.868,48.474,,,,,
206,07.24.20 klo 06.30.00 ip.,20.868,48.523,,,,,
207,07.24.20 klo 07.00.00 ip.,20.868,48.571,,,,,
208,07.24.20 klo 07.30.00 ip.,20.868,48.547,,,,,
209,07.24.20 klo 08.00.00 ip.,20.825,48.620,,,,,
210,07.24.20 klo 08.30.00 ip.,20.868,48.694,,,,,
211,07.24.20 klo 09.00.00 ip.,20.954,48.840,,,,,
212,07.24.20 klo 09.30.00 ip.,20.997,49.060,,,,,
213,07.24.20 klo 10.00.00 ip.,20.997,49.280,,,,,
214,07.24.20 klo 10.30.00 ip.,20.997,49.524,,,,,
215,07.24.20 klo 11.00.00 ip.,20.954,49.597,,,,,
216,07.24.20 klo 11.30.00 ip.,20.911,49.670,,,,,
217,07.25.20 klo 12.00.00 ap.,20.911,49.695,,,,,
218,07.25.20 klo 12.30.00 ap.,20.868,49.695,,,,,
219,07.25.20 klo 01.00.00 ap.,20.954,49.719,,,,,
220,07.25.20 klo 01.30.00 ap.,21.040,49.841,,,,,
221,07.25.20 klo 02.00.00 ap.,21.083,49.988,,,,,
222,07.25.20 klo 02.30.00 ap.,21.126,50.134,,,,,
223,07.25.20 klo 03.00.00 ap.,21.169,50.330,,,,,
224,07.25.20 klo 03.30.00 ap.,21.211,50.574,,,,,
225,07.25.20 klo 04.00.00 ap.,21.254,50.696,,,,,
226,07.25.20 klo 04.30.00 ap.,21.254,50.891,,,,,
227,07.25.20 klo 05.00.00 ap.,21.254,50.965,,,,,
228,07.25.20 klo 05.30.00 ap.,21.211,51.013,,,,,
229,07.25.20 klo 06.00.00 ap.,21.211,50.989,,,,,
230,07.25.20 klo 06.30.00 ap.,21.211,50.940,,,,,
231,07.25.20 klo 07.00.00 ap.,21.211,50.916,,,,,
