"Plot Title:  20849250"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849250, SEN S/N: 20849250)","RH, % (LGR S/N: 20849250, SEN S/N: 20849250)","Coupler Detached (LGR S/N: 20849250)","End Of File (LGR S/N: 20849250)"
80,08.18.20 klo 06.13.31 ap.,21.426,35.946,,
81,08.18.20 klo 06.43.31 ap.,21.426,35.922,,
82,08.18.20 klo 07.13.31 ap.,21.383,35.849,,
83,08.18.20 klo 07.43.31 ap.,21.426,36.166,,
84,08.18.20 klo 08.13.31 ap.,21.383,36.874,,
85,08.18.20 klo 08.43.31 ap.,21.512,37.338,,
86,08.18.20 klo 09.13.31 ap.,21.469,37.192,,
87,08.18.20 klo 09.43.31 ap.,21.426,36.825,,
88,08.18.20 klo 10.13.31 ap.,21.426,36.654,,
89,08.18.20 klo 10.43.31 ap.,21.469,36.923,,
90,08.18.20 klo 11.13.31 ap.,21.512,37.167,,
91,08.18.20 klo 11.43.31 ap.,21.598,37.387,,
92,08.18.20 klo 12.13.31 ip.,21.683,37.411,,
93,08.18.20 klo 12.43.31 ip.,21.598,37.241,,
94,08.18.20 klo 01.13.31 ip.,21.512,37.167,,
95,08.18.20 klo 01.43.31 ip.,21.512,37.167,,
96,08.18.20 klo 02.13.31 ip.,21.555,39.145,,
97,08.18.20 klo 02.43.31 ip.,21.512,38.950,,
98,08.18.20 klo 03.13.31 ip.,21.469,38.974,,
99,08.18.20 klo 03.43.31 ip.,21.512,39.072,,
100,08.18.20 klo 04.13.31 ip.,21.469,38.730,,
101,08.18.20 klo 04.43.31 ip.,21.512,39.096,,
102,08.18.20 klo 05.13.31 ip.,21.555,39.292,,
103,08.18.20 klo 05.43.31 ip.,21.555,39.585,,
104,08.18.20 klo 06.13.31 ip.,21.469,39.756,,
105,08.18.20 klo 06.43.31 ip.,21.469,39.341,,
106,08.18.20 klo 07.13.31 ip.,21.383,39.170,,
107,08.18.20 klo 07.43.31 ip.,21.340,39.194,,
108,08.18.20 klo 08.13.31 ip.,21.383,38.926,,
109,08.18.20 klo 08.43.31 ip.,21.340,39.194,,
110,08.18.20 klo 09.13.31 ip.,21.555,39.634,,
111,08.18.20 klo 09.43.31 ip.,21.640,39.829,,
112,08.18.20 klo 10.13.31 ip.,21.812,40.122,,
113,08.18.20 klo 10.43.31 ip.,21.512,40.659,,
114,08.18.20 klo 11.13.31 ip.,21.555,40.342,,
115,08.18.20 klo 11.43.31 ip.,21.469,40.049,,
116,08.19.20 klo 12.13.31 ap.,21.426,39.707,,
117,08.19.20 klo 12.43.31 ap.,21.426,39.389,,
118,08.19.20 klo 01.13.31 ap.,21.383,39.096,,
119,08.19.20 klo 01.43.31 ap.,21.340,38.926,,
120,08.19.20 klo 02.13.31 ap.,21.297,38.803,,
121,08.19.20 klo 02.43.31 ap.,21.297,38.632,,
122,08.19.20 klo 03.13.31 ap.,21.297,38.486,,
123,08.19.20 klo 03.43.31 ap.,21.297,38.364,,
124,08.19.20 klo 04.13.31 ap.,21.297,38.242,,
125,08.19.20 klo 04.43.31 ap.,21.340,38.046,,
126,08.19.20 klo 05.13.31 ap.,21.297,37.924,,
127,08.19.20 klo 05.43.31 ap.,21.297,37.753,,
128,08.19.20 klo 06.13.31 ap.,21.297,37.729,,
129,08.19.20 klo 06.43.31 ap.,21.340,37.680,,
130,08.19.20 klo 07.13.31 ap.,21.383,37.460,,
131,08.19.20 klo 07.43.31 ap.,21.383,37.827,,
132,08.19.20 klo 08.13.31 ap.,21.426,38.510,,
133,08.19.20 klo 08.43.31 ap.,21.469,38.706,,
134,08.19.20 klo 09.13.31 ap.,21.297,39.414,,
135,08.19.20 klo 09.43.31 ap.,21.340,39.341,,
136,08.19.20 klo 10.13.31 ap.,21.512,39.121,,
137,08.19.20 klo 10.43.31 ap.,21.683,38.632,,
138,08.19.20 klo 11.13.31 ap.,21.769,38.462,,
139,08.19.20 klo 11.43.31 ap.,21.855,38.339,,
140,08.19.20 klo 12.13.31 ip.,21.984,38.193,,
141,08.19.20 klo 12.43.31 ip.,22.027,38.193,,
142,08.19.20 klo 01.13.31 ip.,22.198,38.071,,
143,08.19.20 klo 01.43.31 ip.,22.327,37.900,,
144,08.19.20 klo 02.13.31 ip.,22.456,37.729,,
145,08.19.20 klo 02.43.31 ip.,22.584,37.534,,
146,08.19.20 klo 03.13.31 ip.,22.756,37.411,,
147,08.19.20 klo 03.43.31 ip.,22.842,37.363,,
148,08.19.20 klo 04.13.31 ip.,22.799,37.509,,
149,08.19.20 klo 04.43.31 ip.,22.885,37.338,,
150,08.19.20 klo 05.13.31 ip.,22.670,37.656,,
151,08.19.20 klo 05.43.31 ip.,22.927,37.143,,
152,08.19.20 klo 06.13.31 ip.,22.756,37.314,,
153,08.19.20 klo 06.43.31 ip.,22.456,37.558,,
154,08.19.20 klo 07.13.31 ip.,22.284,37.509,,
155,08.19.20 klo 07.43.31 ip.,22.027,37.949,,
156,08.19.20 klo 08.13.31 ip.,21.941,37.729,,
157,08.19.20 klo 08.43.31 ip.,21.855,37.680,,
158,08.19.20 klo 09.13.31 ip.,21.812,37.705,,
159,08.19.20 klo 09.43.31 ip.,21.726,37.778,,
160,08.19.20 klo 10.13.31 ip.,21.683,37.729,,
161,08.19.20 klo 10.43.31 ip.,21.898,44.396,,
162,08.19.20 klo 11.13.31 ip.,21.598,44.054,,
163,08.19.20 klo 11.43.31 ip.,21.469,43.858,,
164,08.20.20 klo 12.13.31 ap.,21.426,43.541,,
165,08.20.20 klo 12.43.31 ap.,21.383,43.199,,
166,08.20.20 klo 01.13.31 ap.,21.383,42.833,,
167,08.20.20 klo 01.43.31 ap.,21.383,42.491,,
168,08.20.20 klo 02.13.31 ap.,21.383,42.173,,
169,08.20.20 klo 02.43.31 ap.,21.383,42.027,,
170,08.20.20 klo 03.13.31 ap.,21.383,41.734,,
171,08.20.20 klo 03.43.31 ap.,21.426,41.587,,
172,08.20.20 klo 04.13.31 ap.,21.426,41.416,,
173,08.20.20 klo 04.43.31 ap.,21.426,41.270,,
174,08.20.20 klo 05.13.31 ap.,21.426,41.172,,
175,08.20.20 klo 05.43.31 ap.,21.426,41.050,,
176,08.20.20 klo 06.13.31 ap.,21.426,40.928,,
177,08.20.20 klo 06.43.31 ap.,21.426,40.781,,
178,08.20.20 klo 07.13.31 ap.,21.426,40.684,,
179,08.20.20 klo 07.43.31 ap.,21.469,40.708,,
180,08.20.20 klo 08.13.31 ap.,21.598,41.685,,
181,08.20.20 klo 08.43.31 ap.,19.839,38.803,,
182,08.20.20 klo 09.13.31 ap.,18.208,42.125,,
183,08.20.20 klo 09.43.31 ap.,17.994,43.614,,
184,08.20.20 klo 10.13.31 ap.,18.337,45.763,,
185,08.20.20 klo 10.43.31 ap.,19.624,45.250,,
186,08.20.20 klo 11.13.31 ap.,19.753,44.908,,
187,08.20.20 klo 11.43.31 ap.,20.010,44.957,,
188,08.20.20 klo 12.13.31 ip.,20.225,44.957,,
189,08.20.20 klo 12.43.31 ip.,20.482,44.860,,
190,08.20.20 klo 01.13.31 ip.,20.697,44.786,,
191,08.20.20 klo 01.43.31 ip.,20.868,44.884,,
192,08.20.20 klo 02.13.31 ip.,21.211,44.420,,
193,08.20.20 klo 02.43.31 ip.,21.383,44.127,,
194,08.20.20 klo 03.13.31 ip.,21.512,43.883,,
195,08.20.20 klo 03.43.31 ip.,21.598,43.541,,
196,08.20.20 klo 04.13.31 ip.,21.726,43.419,,
197,08.20.20 klo 04.43.31 ip.,21.769,43.223,,
198,08.20.20 klo 05.13.31 ip.,21.855,43.028,,
199,08.20.20 klo 05.43.31 ip.,21.941,42.882,,
200,08.20.20 klo 06.13.31 ip.,22.112,42.735,,
201,08.20.20 klo 06.43.31 ip.,22.069,42.564,,
202,08.20.20 klo 07.13.31 ip.,22.112,42.295,,
203,08.20.20 klo 07.43.31 ip.,22.155,42.173,,
204,08.20.20 klo 08.13.31 ip.,22.155,41.954,,
205,08.20.20 klo 08.43.31 ip.,22.155,41.807,,
206,08.20.20 klo 09.13.31 ip.,22.155,41.783,,
207,08.20.20 klo 09.43.31 ip.,22.112,41.734,,
208,08.20.20 klo 10.13.31 ip.,22.112,41.636,,
209,08.20.20 klo 10.43.31 ip.,22.112,41.587,,
210,08.20.20 klo 11.13.31 ip.,21.984,41.197,,
211,08.20.20 klo 11.43.31 ip.,21.898,41.319,,
212,08.21.20 klo 12.13.31 ap.,21.855,41.270,,
213,08.21.20 klo 12.43.31 ap.,21.812,41.148,,
214,08.21.20 klo 01.13.31 ap.,21.812,41.026,,
215,08.21.20 klo 01.43.31 ap.,21.769,40.855,,
216,08.21.20 klo 02.13.31 ap.,21.726,40.757,,
217,08.21.20 klo 02.43.31 ap.,21.683,40.684,,
218,08.21.20 klo 03.13.31 ap.,21.640,40.537,,
219,08.21.20 klo 03.43.31 ap.,21.640,40.415,,
220,08.21.20 klo 04.13.31 ap.,21.598,40.317,,
221,08.21.20 klo 04.43.31 ap.,21.598,40.269,,
222,08.21.20 klo 05.13.31 ap.,21.555,40.122,,
223,08.21.20 klo 05.43.31 ap.,21.512,40.024,,
224,08.21.20 klo 06.13.31 ap.,21.512,39.951,,
225,08.21.20 klo 06.43.31 ap.,21.512,39.927,,
226,08.21.20 klo 07.13.31 ap.,21.512,39.829,,
227,08.21.20 klo 07.43.31 ap.,21.512,39.829,,
228,08.21.20 klo 08.13.31 ap.,21.512,39.853,,
229,08.21.20 klo 08.43.31 ap.,21.512,39.780,,
230,08.21.20 klo 09.13.31 ap.,21.512,39.731,,
231,08.21.20 klo 09.43.31 ap.,21.512,39.829,,
232,08.21.20 klo 10.13.31 ap.,21.555,39.951,,
233,08.21.20 klo 10.43.31 ap.,21.598,40.049,,
234,08.21.20 klo 11.13.31 ap.,21.640,40.195,,
235,08.21.20 klo 11.43.31 ap.,21.640,40.244,,
236,08.21.20 klo 12.13.31 ip.,21.683,40.342,,
237,08.21.20 klo 12.43.31 ip.,21.726,40.391,,
238,08.21.20 klo 01.13.31 ip.,21.726,40.464,,
239,08.21.20 klo 01.43.31 ip.,21.726,40.562,,
240,08.21.20 klo 02.13.31 ip.,21.769,40.611,,
241,08.21.20 klo 02.43.31 ip.,21.769,40.611,,
242,08.21.20 klo 03.13.31 ip.,21.855,40.781,,
243,08.21.20 klo 03.43.31 ip.,21.855,40.904,,
244,08.21.20 klo 04.13.31 ip.,21.855,40.952,,
245,08.21.20 klo 04.43.31 ip.,21.898,40.952,,
246,08.21.20 klo 05.13.31 ip.,21.941,40.977,,
247,08.21.20 klo 05.43.31 ip.,21.941,40.952,,
248,08.21.20 klo 06.13.31 ip.,22.027,41.026,,
249,08.21.20 klo 06.43.31 ip.,22.069,40.977,,
250,08.21.20 klo 07.13.31 ip.,21.984,40.928,,
251,08.21.20 klo 07.43.31 ip.,21.984,40.928,,
252,08.21.20 klo 08.13.31 ip.,21.984,41.001,,
253,08.21.20 klo 08.43.31 ip.,21.984,41.050,,
254,08.21.20 klo 09.13.31 ip.,21.941,41.148,,
255,08.21.20 klo 09.43.31 ip.,21.855,41.270,,
256,08.21.20 klo 10.13.31 ip.,21.812,41.368,,
257,08.21.20 klo 10.43.31 ip.,21.769,41.343,,
258,08.21.20 klo 11.13.31 ip.,21.812,41.465,,
259,08.21.20 klo 11.43.31 ip.,21.855,41.538,,
260,08.22.20 klo 12.13.31 ap.,21.855,41.563,,
261,08.22.20 klo 12.43.31 ap.,21.812,42.051,,
262,08.22.20 klo 01.13.31 ap.,21.769,42.271,,
263,08.22.20 klo 01.43.31 ap.,21.769,42.515,,
264,08.22.20 klo 02.13.31 ap.,21.726,42.759,,
265,08.22.20 klo 02.43.31 ap.,21.683,42.930,,
266,08.22.20 klo 03.13.31 ap.,21.683,42.979,,
267,08.22.20 klo 03.43.31 ap.,21.640,43.053,,
268,08.22.20 klo 04.13.31 ap.,21.598,43.077,,
269,08.22.20 klo 04.43.31 ap.,21.598,43.053,,
270,08.22.20 klo 05.13.31 ap.,21.598,43.101,,
271,08.22.20 klo 05.43.31 ap.,21.598,43.053,,
272,08.22.20 klo 06.13.31 ap.,21.555,43.150,,
273,08.22.20 klo 06.43.31 ap.,21.555,43.150,,
274,08.22.20 klo 07.13.31 ap.,21.555,43.175,,
275,08.22.20 klo 07.43.31 ap.,21.512,43.175,,
276,08.22.20 klo 08.13.31 ap.,21.512,43.150,,
277,08.22.20 klo 08.43.31 ap.,21.469,43.175,,
278,08.22.20 klo 09.13.31 ap.,21.469,43.223,,
279,08.22.20 klo 09.43.31 ap.,21.512,43.272,,
280,08.22.20 klo 10.13.31 ap.,21.555,43.370,,
281,08.22.20 klo 10.43.31 ap.,21.683,43.761,,
282,08.22.20 klo 11.13.31 ap.,21.769,44.249,,
283,08.22.20 klo 11.43.31 ap.,21.898,44.689,,
284,08.22.20 klo 12.13.31 ip.,21.941,44.908,,
285,08.22.20 klo 12.43.31 ip.,22.027,45.226,,
286,08.22.20 klo 01.13.31 ip.,22.069,45.519,,
287,08.22.20 klo 01.43.31 ip.,22.112,45.641,,
288,08.22.20 klo 02.13.31 ip.,22.155,45.763,,
289,08.22.20 klo 02.43.31 ip.,22.198,45.885,,
290,08.22.20 klo 03.13.31 ip.,22.155,45.836,,
291,08.22.20 klo 03.43.31 ip.,22.155,45.788,,
292,08.22.20 klo 04.13.31 ip.,22.241,45.739,,
293,08.22.20 klo 04.43.31 ip.,22.284,45.714,,
294,08.22.20 klo 05.13.31 ip.,22.327,45.812,,
295,08.22.20 klo 05.43.31 ip.,22.327,45.617,,
296,08.22.20 klo 06.13.31 ip.,22.284,45.592,,
297,08.22.20 klo 06.43.31 ip.,22.284,45.690,,
298,08.22.20 klo 07.13.31 ip.,22.241,45.739,,
299,08.22.20 klo 07.43.31 ip.,22.198,45.812,,
300,08.22.20 klo 08.13.31 ip.,22.198,45.934,,
301,08.22.20 klo 08.43.31 ip.,22.541,46.862,,
302,08.22.20 klo 09.13.31 ip.,22.498,46.105,,
303,08.22.20 klo 09.43.31 ip.,22.413,46.056,,
304,08.22.20 klo 10.13.31 ip.,22.413,46.252,,
305,08.22.20 klo 10.43.31 ip.,22.456,46.593,,
306,08.22.20 klo 11.13.31 ip.,22.456,47.106,,
307,08.22.20 klo 11.43.31 ip.,22.541,47.790,,
308,08.23.20 klo 12.13.31 ap.,22.584,48.327,,
309,08.23.20 klo 12.43.31 ap.,22.541,48.620,,
310,08.23.20 klo 01.13.31 ap.,22.456,48.718,,
311,08.23.20 klo 01.43.31 ap.,22.413,48.742,,
312,08.23.20 klo 02.13.31 ap.,22.327,48.596,,
313,08.23.20 klo 02.43.31 ap.,22.284,48.425,,
314,08.23.20 klo 03.13.31 ap.,22.241,48.205,,
315,08.23.20 klo 03.43.31 ap.,22.198,48.034,,
316,08.23.20 klo 04.13.31 ap.,22.155,47.839,,
317,08.23.20 klo 04.43.31 ap.,22.112,47.619,,
318,08.23.20 klo 05.13.31 ap.,22.069,47.399,,
319,08.23.20 klo 05.43.31 ap.,22.027,47.277,,
320,08.23.20 klo 06.13.31 ap.,21.984,47.131,,
321,08.23.20 klo 06.43.31 ap.,21.984,46.984,,
322,08.23.20 klo 07.13.31 ap.,21.941,46.838,,
323,08.23.20 klo 07.43.31 ap.,21.941,46.691,,
324,08.23.20 klo 08.13.31 ap.,21.941,46.593,,
325,08.23.20 klo 08.43.31 ap.,21.941,46.496,,
326,08.23.20 klo 09.13.31 ap.,21.941,46.325,,
327,08.23.20 klo 09.43.31 ap.,21.898,46.325,,
328,08.23.20 klo 10.13.31 ap.,22.069,46.471,,
329,08.23.20 klo 10.43.31 ap.,22.155,46.593,,
330,08.23.20 klo 11.13.31 ap.,22.541,48.571,,
331,08.23.20 klo 11.43.31 ap.,21.683,48.742,,
332,08.23.20 klo 12.13.31 ip.,21.340,50.549,,
333,08.23.20 klo 12.43.31 ip.,22.069,55.897,,
334,08.23.20 klo 01.13.31 ip.,22.756,54.066,,
335,08.23.20 klo 01.43.31 ip.,21.211,55.458,,
336,08.23.20 klo 02.13.31 ip.,20.868,56.777,,
337,08.23.20 klo 02.43.31 ip.,21.169,58.193,,
338,08.23.20 klo 03.13.31 ip.,20.782,56.435,,
339,08.23.20 klo 03.43.31 ip.,20.182,56.142,,
340,08.23.20 klo 04.13.31 ip.,18.723,56.459,,
341,08.23.20 klo 04.43.31 ip.,20.654,65.079,,
342,08.23.20 klo 05.13.31 ip.,22.112,67.985,,
343,08.23.20 klo 05.43.31 ip.,25.502,62.540,,
344,08.23.20 klo 06.13.31 ip.,26.746,55.433,,
345,08.23.20 klo 06.43.31 ip.,26.617,55.531,,
346,08.23.20 klo 07.13.31 ip.,26.703,56.117,,
347,08.23.20 klo 07.43.31 ip.,26.402,55.653,,
348,08.23.20 klo 08.13.31 ip.,26.617,59.096,,
349,08.23.20 klo 08.43.31 ip.,29.105,60.855,,
350,08.23.20 klo 09.13.31 ip.,29.448,53.089,,
351,08.23.20 klo 09.43.31 ip.,29.234,54.994,,
352,08.23.20 klo 10.13.31 ip.,31.508,49.328,,
353,08.23.20 klo 10.43.31 ip.,30.993,49.695,,
354,08.23.20 klo 11.13.31 ip.,30.135,50.061,,
355,08.23.20 klo 11.43.31 ip.,28.676,51.673,,
356,08.24.20 klo 12.13.31 ap.,27.561,52.430,,
357,08.24.20 klo 12.43.31 ap.,26.917,51.306,,
358,08.24.20 klo 01.13.31 ap.,25.888,51.917,,
359,08.24.20 klo 01.43.31 ap.,25.073,52.625,,
360,08.24.20 klo 02.13.31 ap.,24.515,52.088,,
361,08.24.20 klo 02.43.31 ap.,23.871,52.479,,
362,08.24.20 klo 03.13.31 ap.,22.970,53.724,,
363,08.24.20 klo 03.43.31 ap.,22.627,53.455,,
364,08.24.20 klo 04.13.31 ap.,22.069,52.332,,
365,08.24.20 klo 04.43.31 ap.,21.426,54.237,,
366,08.24.20 klo 05.13.31 ap.,20.997,54.481,,
367,08.24.20 klo 05.43.31 ap.,20.697,56.117,,
368,08.24.20 klo 06.13.31 ap.,20.182,55.458,,
369,08.24.20 klo 06.43.31 ap.,20.139,55.287,,
370,08.24.20 klo 07.13.31 ap.,19.710,56.020,,
371,08.24.20 klo 07.43.31 ap.,19.367,54.969,,
372,08.24.20 klo 08.13.31 ap.,19.109,57.192,,
373,08.24.20 klo 08.43.31 ap.,18.723,54.872,,
374,08.24.20 klo 09.13.31 ap.,19.495,60.806,,
375,08.24.20 klo 09.43.31 ap.,19.667,60.757,,
376,08.24.20 klo 10.13.31 ap.,19.152,57.265,,
377,08.24.20 klo 10.43.31 ap.,18.895,56.532,,
378,08.24.20 klo 11.13.31 ap.,18.380,59.756,,
379,08.24.20 klo 11.43.31 ap.,19.024,58.364,,
380,08.24.20 klo 12.13.31 ip.,24.086,47.668,,
381,08.24.20 klo 12.43.31 ip.,26.531,39.951,,
382,08.24.20 klo 01.13.31 ip.,27.218,42.882,,
383,08.24.20 klo 01.43.31 ip.,26.531,44.860,,
384,08.24.20 klo 02.13.31 ip.,25.888,45.983,,
385,08.24.20 klo 02.43.31 ip.,25.287,47.302,,
386,08.24.20 klo 03.13.31 ip.,24.815,47.985,,
387,08.24.20 klo 03.43.31 ip.,24.472,48.449,,
388,08.24.20 klo 04.13.31 ip.,24.043,49.011,,
389,08.24.20 klo 04.43.31 ip.,23.614,49.670,,
390,08.24.20 klo 05.13.31 ip.,23.142,50.354,,
391,08.24.20 klo 05.43.31 ip.,22.713,50.818,,
392,08.24.20 klo 06.13.31 ip.,22.241,51.331,,
393,08.24.20 klo 06.43.31 ip.,21.898,51.575,,
394,08.24.20 klo 07.13.31 ip.,21.598,52.527,,
395,08.24.20 klo 07.43.31 ip.,21.941,50.183,,
396,08.24.20 klo 08.13.31 ip.,26.231,41.685,,
397,08.24.20 klo 08.43.31 ip.,26.574,47.204,,
398,08.24.20 klo 09.13.31 ip.,26.360,56.606,,
399,08.24.20 klo 09.43.31 ip.,25.973,56.606,,
400,08.24.20 klo 10.13.31 ip.,25.931,57.705,,
401,08.24.20 klo 10.43.31 ip.,25.459,57.387,,
402,08.24.20 klo 11.13.31 ip.,25.373,56.923,,
403,08.24.20 klo 11.43.31 ip.,25.030,58.779,,
404,08.25.20 klo 12.13.31 ap.,24.644,58.706,,
405,08.25.20 klo 12.43.31 ap.,24.129,56.825,,
406,08.25.20 klo 01.13.31 ap.,23.700,55.629,,
407,08.25.20 klo 01.43.31 ap.,23.528,57.314,,
408,08.25.20 klo 02.13.31 ap.,23.356,58.364,,
409,08.25.20 klo 02.43.31 ap.,23.142,58.779,,
410,08.25.20 klo 03.13.31 ap.,22.927,59.292,,
411,08.25.20 klo 03.43.31 ap.,22.799,59.805,,
412,08.25.20 klo 04.13.31 ap.,22.627,61.563,,
413,08.25.20 klo 04.43.31 ap.,22.456,61.026,,
414,08.25.20 klo 05.13.31 ap.,22.198,60.195,,
415,08.25.20 klo 05.43.31 ap.,22.027,59.951,,
416,08.25.20 klo 06.13.31 ap.,21.812,59.145,,
417,08.25.20 klo 06.43.31 ap.,21.469,59.292,,
418,08.25.20 klo 07.13.31 ap.,21.340,62.222,,
419,08.25.20 klo 07.43.31 ap.,21.254,60.611,,
420,08.25.20 klo 08.13.31 ap.,21.383,66.764,,
421,08.25.20 klo 08.43.31 ap.,21.512,65.519,,
422,08.25.20 klo 09.13.31 ap.,21.297,59.512,,
423,08.25.20 klo 09.43.31 ap.,23.528,56.068,,
424,08.25.20 klo 10.13.31 ap.,27.432,47.521,,
425,08.25.20 klo 10.43.31 ap.,24.815,39.512,,
426,08.25.20 klo 11.13.31 ap.,23.614,41.563,,
427,08.25.20 klo 11.43.31 ap.,23.785,43.907,,
428,08.25.20 klo 12.13.31 ip.,23.314,46.593,,
429,08.25.20 klo 12.43.31 ip.,22.799,47.985,,
430,08.25.20 klo 01.13.31 ip.,22.370,48.938,,
431,08.25.20 klo 01.43.31 ip.,22.198,49.475,,
432,08.25.20 klo 02.13.31 ip.,21.984,49.792,,
433,08.25.20 klo 02.43.31 ip.,21.984,49.915,,
434,08.25.20 klo 03.13.31 ip.,21.726,50.794,,
435,08.25.20 klo 03.43.31 ip.,21.469,51.502,,
436,08.25.20 klo 04.13.31 ip.,21.383,51.746,,
437,08.25.20 klo 04.43.31 ip.,20.997,51.746,,
438,08.25.20 klo 05.13.31 ip.,20.353,50.354,,
439,08.25.20 klo 05.43.31 ip.,20.482,52.259,,
440,08.25.20 klo 06.13.31 ip.,20.482,52.991,,
441,08.25.20 klo 06.43.31 ip.,20.439,53.211,,
442,08.25.20 klo 07.13.31 ip.,20.525,50.818,,
443,08.25.20 klo 07.43.31 ip.,20.182,48.620,,
