"Plot Title:  20849239"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849239, SEN S/N: 20849239)","RH, % (LGR S/N: 20849239, SEN S/N: 20849239)","Coupler Detached (LGR S/N: 20849239)","Bad Battery (LGR S/N: 20849239)","Coupler Attached (LGR S/N: 20849239)","Host Connected (LGR S/N: 20849239)","Stopped (LGR S/N: 20849239)","End Of File (LGR S/N: 20849239)"
2445,10.06.20 klo 01.03.22 ip.,3.923,100.000,,,,,,
2446,10.06.20 klo 01.33.22 ip.,4.051,100.000,,,,,,
2447,10.06.20 klo 02.03.22 ip.,4.266,100.000,,,,,,
2448,10.06.20 klo 02.33.22 ip.,4.352,100.000,,,,,,
2449,10.06.20 klo 03.03.22 ip.,4.566,100.000,,,,,,
2450,10.06.20 klo 03.33.22 ip.,4.824,100.000,,,,,,
2451,10.06.20 klo 04.03.22 ip.,4.995,100.000,,,,,,
2452,10.06.20 klo 04.33.22 ip.,5.038,100.000,,,,,,
2453,10.06.20 klo 05.03.22 ip.,5.081,100.000,,,,,,
2454,10.06.20 klo 05.33.22 ip.,5.124,100.000,,,,,,
2455,10.06.20 klo 06.03.22 ip.,4.952,100.000,,,,,,
2456,10.06.20 klo 06.33.22 ip.,4.995,100.000,,,,,,
2457,10.06.20 klo 07.03.22 ip.,4.995,100.000,,,,,,
2458,10.06.20 klo 07.33.22 ip.,4.995,100.000,,,,,,
2459,10.06.20 klo 08.03.22 ip.,4.909,100.000,,,,,,
2460,10.06.20 klo 08.33.22 ip.,4.952,100.000,,,,,,
2461,10.06.20 klo 09.03.22 ip.,4.952,100.000,,,,,,
2462,10.06.20 klo 09.33.22 ip.,4.781,100.000,,,,,,
2463,10.06.20 klo 10.03.22 ip.,4.781,100.000,,,,,,
2464,10.06.20 klo 10.33.22 ip.,4.781,100.000,,,,,,
2465,10.06.20 klo 11.03.22 ip.,4.781,100.000,,,,,,
2466,10.06.20 klo 11.33.22 ip.,4.909,100.000,,,,,,
2467,10.07.20 klo 12.03.22 ap.,4.781,100.000,,,,,,
2468,10.07.20 klo 12.33.22 ap.,4.695,100.000,,,,,,
2469,10.07.20 klo 01.03.22 ap.,4.866,100.000,,,,,,
2470,10.07.20 klo 01.33.22 ap.,4.781,100.000,,,,,,
2471,10.07.20 klo 02.03.22 ap.,4.866,100.000,,,,,,
2472,10.07.20 klo 02.33.22 ap.,4.824,100.000,,,,,,
2473,10.07.20 klo 03.03.22 ap.,4.437,100.000,,,,,,
2474,10.07.20 klo 03.33.22 ap.,4.309,100.000,,,,,,
2475,10.07.20 klo 04.03.22 ap.,4.223,100.000,,,,,,
2476,10.07.20 klo 04.33.22 ap.,4.266,100.000,,,,,,
2477,10.07.20 klo 05.03.22 ap.,4.395,100.000,,,,,,
2478,10.07.20 klo 05.33.22 ap.,4.395,100.000,,,,,,
2479,10.07.20 klo 06.03.22 ap.,4.352,99.341,,,,,,
2480,10.07.20 klo 06.33.22 ap.,4.309,99.683,,,,,,
2481,10.07.20 klo 07.03.22 ap.,4.437,99.487,,,,,,
2482,10.07.20 klo 07.33.22 ap.,4.352,99.829,,,,,,
2483,10.07.20 klo 08.03.22 ap.,4.480,99.756,,,,,,
2484,10.07.20 klo 08.33.22 ap.,4.437,99.902,,,,,,
2485,10.07.20 klo 09.03.22 ap.,4.695,98.462,,,,,,
2486,10.07.20 klo 09.33.22 ap.,4.523,99.634,,,,,,
2487,10.07.20 klo 10.03.22 ap.,4.566,100.000,,,,,,
2488,10.07.20 klo 10.33.22 ap.,4.652,100.000,,,,,,
2489,10.07.20 klo 11.03.22 ap.,4.738,100.000,,,,,,
2490,10.07.20 klo 11.33.22 ap.,4.824,100.000,,,,,,
2491,10.07.20 klo 12.03.22 ip.,4.952,100.000,,,,,,
2492,10.07.20 klo 12.33.22 ip.,5.038,100.000,,,,,,
2493,10.07.20 klo 01.03.22 ip.,5.038,100.000,,,,,,
2494,10.07.20 klo 01.33.22 ip.,5.124,100.000,,,,,,
2495,10.07.20 klo 02.03.22 ip.,5.338,100.000,,,,,,
2496,10.07.20 klo 02.33.22 ip.,5.081,100.000,,,,,,
2497,10.07.20 klo 03.03.22 ip.,5.210,100.000,,,,,,
2498,10.07.20 klo 03.33.22 ip.,5.295,100.000,,,,,,
2499,10.07.20 klo 04.03.22 ip.,5.381,100.000,,,,,,
2500,10.07.20 klo 04.33.22 ip.,5.553,100.000,,,,,,
2501,10.07.20 klo 05.03.22 ip.,5.724,100.000,,,,,,
2502,10.07.20 klo 05.33.22 ip.,5.853,100.000,,,,,,
2503,10.07.20 klo 06.03.22 ip.,6.025,100.000,,,,,,
2504,10.07.20 klo 06.33.22 ip.,6.196,100.000,,,,,,
2505,10.07.20 klo 07.03.22 ip.,6.497,100.000,,,,,,
2506,10.07.20 klo 07.33.22 ip.,6.497,100.000,,,,,,
2507,10.07.20 klo 08.03.22 ip.,6.625,100.000,,,,,,
2508,10.07.20 klo 08.33.22 ip.,6.797,100.000,,,,,,
2509,10.07.20 klo 09.03.22 ip.,6.883,100.000,,,,,,
2510,10.07.20 klo 09.33.22 ip.,6.926,100.000,,,,,,
2511,10.07.20 klo 10.03.22 ip.,7.011,100.000,,,,,,
2512,10.07.20 klo 10.33.22 ip.,7.011,100.000,,,,,,
2513,10.07.20 klo 11.03.22 ip.,7.097,100.000,,,,,,
2514,10.07.20 klo 11.33.22 ip.,7.011,100.000,,,,,,
2515,10.08.20 klo 12.03.22 ap.,7.183,100.000,,,,,,
2516,10.08.20 klo 12.33.22 ap.,7.183,100.000,,,,,,
2517,10.08.20 klo 01.03.22 ap.,7.312,100.000,,,,,,
2518,10.08.20 klo 01.33.22 ap.,7.440,100.000,,,,,,
2519,10.08.20 klo 02.03.22 ap.,7.483,100.000,,,,,,
2520,10.08.20 klo 02.33.22 ap.,7.526,100.000,,,,,,
2521,10.08.20 klo 03.03.22 ap.,7.483,100.000,,,,,,
2522,10.08.20 klo 03.33.22 ap.,7.312,100.000,,,,,,
2523,10.08.20 klo 04.03.22 ap.,7.312,100.000,,,,,,
2524,10.08.20 klo 04.33.22 ap.,7.355,100.000,,,,,,
2525,10.08.20 klo 05.03.22 ap.,7.784,100.000,,,,,,
2526,10.08.20 klo 05.33.22 ap.,7.827,100.000,,,,,,
2527,10.08.20 klo 06.03.22 ap.,7.827,100.000,,,,,,
2528,10.08.20 klo 06.33.22 ap.,7.869,100.000,,,,,,
2529,10.08.20 klo 07.03.22 ap.,7.955,100.000,,,,,,
2530,10.08.20 klo 07.33.22 ap.,7.869,100.000,,,,,,
2531,10.08.20 klo 08.03.22 ap.,7.869,100.000,,,,,,
2532,10.08.20 klo 08.33.22 ap.,7.784,100.000,,,,,,
2533,10.08.20 klo 09.03.22 ap.,7.869,100.000,,,,,,
2534,10.08.20 klo 09.33.22 ap.,7.869,100.000,,,,,,
2535,10.08.20 klo 10.03.22 ap.,7.955,100.000,,,,,,
2536,10.08.20 klo 10.33.22 ap.,7.869,100.000,,,,,,
2537,10.08.20 klo 11.03.22 ap.,7.569,100.000,,,,,,
2538,10.08.20 klo 11.33.22 ap.,7.569,100.000,,,,,,
2539,10.08.20 klo 12.03.22 ip.,7.569,100.000,,,,,,
2540,10.08.20 klo 12.33.22 ip.,7.741,100.000,,,,,,
2541,10.08.20 klo 01.03.22 ip.,7.998,100.000,,,,,,
2542,10.08.20 klo 01.33.22 ip.,8.384,97.607,,,,,,
2543,10.08.20 klo 02.03.22 ip.,8.384,96.825,,,,,,
2544,10.08.20 klo 02.33.22 ip.,8.341,96.044,,,,,,
2545,10.08.20 klo 03.03.22 ip.,9.156,93.895,,,,,,
2546,10.08.20 klo 03.33.22 ip.,8.470,95.214,,,,,,
2547,10.08.20 klo 04.03.22 ip.,8.556,93.309,,,,,,
2548,10.08.20 klo 04.33.22 ip.,8.599,90.916,,,,,,
2549,10.08.20 klo 05.03.22 ip.,8.298,93.065,,,,,,
2550,10.08.20 klo 05.33.22 ip.,7.955,94.530,,,,,,
2551,10.08.20 klo 06.03.22 ip.,7.569,97.045,,,,,,
2552,10.08.20 klo 06.33.22 ip.,7.183,97.973,,,,,,
2553,10.08.20 klo 07.03.22 ip.,7.269,97.753,,,,,,
2554,10.08.20 klo 07.33.22 ip.,7.011,98.437,,,,,,
2555,10.08.20 klo 08.03.22 ip.,6.840,98.535,,,,,,
2556,10.08.20 klo 08.33.22 ip.,7.011,98.388,,,,,,
2557,10.08.20 klo 09.03.22 ip.,7.097,99.048,,,,,,
2558,10.08.20 klo 09.33.22 ip.,7.140,99.853,,,,,,
2559,10.08.20 klo 10.03.22 ip.,7.011,100.000,,,,,,
2560,10.08.20 klo 10.33.22 ip.,7.011,100.000,,,,,,
2561,10.08.20 klo 11.03.22 ip.,6.883,100.000,,,,,,
2562,10.08.20 klo 11.33.22 ip.,6.840,100.000,,,,,,
2563,10.09.20 klo 12.03.22 ap.,6.754,100.000,,,,,,
2564,10.09.20 klo 12.33.22 ap.,6.797,100.000,,,,,,
2565,10.09.20 klo 01.03.22 ap.,6.883,100.000,,,,,,
2566,10.09.20 klo 01.33.22 ap.,6.883,100.000,,,,,,
2567,10.09.20 klo 02.03.22 ap.,6.926,100.000,,,,,,
2568,10.09.20 klo 02.33.22 ap.,6.840,100.000,,,,,,
2569,10.09.20 klo 03.03.22 ap.,6.711,100.000,,,,,,
2570,10.09.20 klo 03.33.22 ap.,6.582,100.000,,,,,,
2571,10.09.20 klo 04.03.22 ap.,6.497,100.000,,,,,,
2572,10.09.20 klo 04.33.22 ap.,6.282,100.000,,,,,,
2573,10.09.20 klo 05.03.22 ap.,6.025,100.000,,,,,,
2574,10.09.20 klo 05.33.22 ap.,6.025,100.000,,,,,,
2575,10.09.20 klo 06.03.22 ap.,6.068,100.000,,,,,,
2576,10.09.20 klo 06.33.22 ap.,6.368,100.000,,,,,,
2577,10.09.20 klo 07.03.22 ap.,6.368,100.000,,,,,,
2578,10.09.20 klo 07.33.22 ap.,6.282,100.000,,,,,,
2579,10.09.20 klo 08.03.22 ap.,6.239,100.000,,,,,,
2580,10.09.20 klo 08.33.22 ap.,6.325,100.000,,,,,,
2581,10.09.20 klo 09.03.22 ap.,6.325,100.000,,,,,,
2582,10.09.20 klo 09.33.22 ap.,6.368,100.000,,,,,,
2583,10.09.20 klo 10.03.22 ap.,6.368,100.000,,,,,,
2584,10.09.20 klo 10.33.22 ap.,6.497,100.000,,,,,,
2585,10.09.20 klo 11.03.22 ap.,7.011,100.000,,,,,,
2586,10.09.20 klo 11.33.22 ap.,6.797,100.000,,,,,,
2587,10.09.20 klo 12.03.22 ip.,7.054,100.000,,,,,,
2588,10.09.20 klo 12.33.22 ip.,8.256,96.801,,,,,,
2589,10.09.20 klo 01.03.22 ip.,7.440,100.000,,,,,,
2590,10.09.20 klo 01.33.22 ip.,8.513,94.579,,,,,,
2591,10.09.20 klo 02.03.22 ip.,7.355,96.044,,,,,,
2592,10.09.20 klo 02.33.22 ip.,7.140,98.462,,,,,,
2593,10.09.20 klo 03.03.22 ip.,7.140,98.999,,,,,,
2594,10.09.20 klo 03.33.22 ip.,6.969,98.413,,,,,,
2595,10.09.20 klo 04.03.22 ip.,6.883,100.000,,,,,,
2596,10.09.20 klo 04.33.22 ip.,6.754,100.000,,,,,,
2597,10.09.20 klo 05.03.22 ip.,6.797,100.000,,,,,,
2598,10.09.20 klo 05.33.22 ip.,6.754,99.829,,,,,,
2599,10.09.20 klo 06.03.22 ip.,6.668,100.000,,,,,,
2600,10.09.20 klo 06.33.22 ip.,6.497,100.000,,,,,,
2601,10.09.20 klo 07.03.22 ip.,6.411,100.000,,,,,,
2602,10.09.20 klo 07.33.22 ip.,6.411,100.000,,,,,,
2603,10.09.20 klo 08.03.22 ip.,6.368,100.000,,,,,,
2604,10.09.20 klo 08.33.22 ip.,6.325,100.000,,,,,,
2605,10.09.20 klo 09.03.22 ip.,6.282,100.000,,,,,,
2606,10.09.20 klo 09.33.22 ip.,6.282,100.000,,,,,,
2607,10.09.20 klo 10.03.22 ip.,6.282,100.000,,,,,,
2608,10.09.20 klo 10.33.22 ip.,6.239,100.000,,,,,,
2609,10.09.20 klo 11.03.22 ip.,6.239,100.000,,,,,,
2610,10.09.20 klo 11.33.22 ip.,6.153,100.000,,,,,,
2611,10.10.20 klo 12.03.22 ap.,6.196,100.000,,,,,,
2612,10.10.20 klo 12.33.22 ap.,6.111,100.000,,,,,,
2613,10.10.20 klo 01.03.22 ap.,6.111,100.000,,,,,,
2614,10.10.20 klo 01.33.22 ap.,6.068,100.000,,,,,,
2615,10.10.20 klo 02.03.22 ap.,6.111,100.000,,,,,,
2616,10.10.20 klo 02.33.22 ap.,6.068,100.000,,,,,,
2617,10.10.20 klo 03.03.22 ap.,6.068,100.000,,,,,,
2618,10.10.20 klo 03.33.22 ap.,5.639,100.000,,,,,,
2619,10.10.20 klo 04.03.22 ap.,5.424,100.000,,,,,,
2620,10.10.20 klo 04.33.22 ap.,5.424,100.000,,,,,,
2621,10.10.20 klo 05.03.22 ap.,5.253,100.000,,,,,,
2622,10.10.20 klo 05.33.22 ap.,5.467,100.000,,,,,,
2623,10.10.20 klo 06.03.22 ap.,5.424,100.000,,,,,,
2624,10.10.20 klo 06.33.22 ap.,4.609,100.000,,,,,,
2625,10.10.20 klo 07.03.22 ap.,4.566,100.000,,,,,,
2626,10.10.20 klo 07.33.22 ap.,5.038,100.000,,,,,,
2627,10.10.20 klo 08.03.22 ap.,4.909,100.000,,,,,,
2628,10.10.20 klo 08.33.22 ap.,5.338,100.000,,,,,,
2629,10.10.20 klo 09.03.22 ap.,5.338,100.000,,,,,,
2630,10.10.20 klo 09.33.22 ap.,5.682,100.000,,,,,,
2631,10.10.20 klo 10.03.22 ap.,5.767,100.000,,,,,,
2632,10.10.20 klo 10.33.22 ap.,5.853,100.000,,,,,,
2633,10.10.20 klo 11.03.22 ap.,6.111,100.000,,,,,,
2634,10.10.20 klo 11.33.22 ap.,6.068,100.000,,,,,,
2635,10.10.20 klo 12.03.22 ip.,6.926,99.389,,,,,,
2636,10.10.20 klo 12.33.22 ip.,9.285,90.842,,,,,,
2637,10.10.20 klo 01.03.22 ip.,9.585,90.037,,,,,,
2638,10.10.20 klo 01.33.22 ip.,7.827,94.921,,,,,,
2639,10.10.20 klo 02.03.22 ip.,9.414,81.856,,,,,,
2640,10.10.20 klo 02.33.22 ip.,8.599,86.984,,,,,,
2641,10.10.20 klo 03.03.22 ip.,7.569,91.990,,,,,,
2642,10.10.20 klo 03.33.22 ip.,7.183,94.115,,,,,,
2643,10.10.20 klo 04.03.22 ip.,6.840,94.945,,,,,,
2644,10.10.20 klo 04.33.22 ip.,6.454,95.604,,,,,,
2645,10.10.20 klo 05.03.22 ip.,5.896,97.436,,,,,,
2646,10.10.20 klo 05.33.22 ip.,5.767,95.824,,,,,,
2647,10.10.20 klo 06.03.22 ip.,5.896,93.602,,,,,,
2648,10.10.20 klo 06.33.22 ip.,5.253,93.455,,,,,,
2649,10.10.20 klo 07.03.22 ip.,5.081,93.700,,,,,,
2650,10.10.20 klo 07.33.22 ip.,4.824,96.190,,,,,,
2651,10.10.20 klo 08.03.22 ip.,4.523,97.607,,,,,,
2652,10.10.20 klo 08.33.22 ip.,4.738,96.386,,,,,,
2653,10.10.20 klo 09.03.22 ip.,4.652,95.678,,,,,,
2654,10.10.20 klo 09.33.22 ip.,4.523,95.458,,,,,,
2655,10.10.20 klo 10.03.22 ip.,4.652,92.991,,,,,,
2656,10.10.20 klo 10.33.22 ip.,4.480,94.139,,,,,,
2657,10.10.20 klo 11.03.22 ip.,4.952,92.357,,,,,,
2658,10.10.20 klo 11.33.22 ip.,4.437,96.777,,,,,,
2659,10.11.20 klo 12.03.22 ap.,4.180,98.803,,,,,,
2660,10.11.20 klo 12.33.22 ap.,4.266,99.414,,,,,,
2661,10.11.20 klo 01.03.22 ap.,4.437,97.656,,,,,,
2662,10.11.20 klo 01.33.22 ap.,4.609,96.972,,,,,,
2663,10.11.20 klo 02.03.22 ap.,4.609,96.606,,,,,,
2664,10.11.20 klo 02.33.22 ap.,4.223,97.167,,,,,,
2665,10.11.20 klo 03.03.22 ap.,4.051,95.922,,,,,,
2666,10.11.20 klo 03.33.22 ap.,4.652,94.237,,,,,,
2667,10.11.20 klo 04.03.22 ap.,4.395,93.993,,,,,,
2668,10.11.20 klo 04.33.22 ap.,4.266,93.944,,,,,,
2669,10.11.20 klo 05.03.22 ap.,4.266,93.431,,,,,,
2670,10.11.20 klo 05.33.22 ap.,4.094,93.431,,,,,,
2671,10.11.20 klo 06.03.22 ap.,3.408,95.385,,,,,,
2672,10.11.20 klo 06.33.22 ap.,3.365,95.018,,,,,,
2673,10.11.20 klo 07.03.22 ap.,3.579,94.212,,,,,,
2674,10.11.20 klo 07.33.22 ap.,3.365,93.504,,,,,,
2675,10.11.20 klo 08.03.22 ap.,3.451,92.650,,,,,,
2676,10.11.20 klo 08.33.22 ap.,3.365,93.846,,,,,,
2677,10.11.20 klo 09.03.22 ap.,3.150,93.944,,,,,,
2678,10.11.20 klo 09.33.22 ap.,3.150,93.504,,,,,,
2679,10.11.20 klo 10.03.22 ap.,3.837,93.675,,,,,,
2680,10.11.20 klo 10.33.22 ap.,4.480,93.089,,,,,,
2681,10.11.20 klo 11.03.22 ap.,5.295,89.524,,,,,,
2682,10.11.20 klo 11.33.22 ap.,5.038,92.576,,,,,,
2683,10.11.20 klo 12.03.22 ip.,4.866,93.260,,,,,,
2684,10.11.20 klo 12.33.22 ip.,4.909,92.869,,,,,,
2685,10.11.20 klo 01.03.22 ip.,4.695,95.043,,,,,,
2686,10.11.20 klo 01.33.22 ip.,4.309,96.093,,,,,,
2687,10.11.20 klo 02.03.22 ip.,4.266,99.707,,,,,,
2688,10.11.20 klo 02.33.22 ip.,4.437,98.486,,,,,,
2689,10.11.20 klo 03.03.22 ip.,4.480,95.360,,,,,,
2690,10.11.20 klo 03.33.22 ip.,4.695,95.287,,,,,,
2691,10.11.20 klo 04.03.22 ip.,4.395,97.631,,,,,,
2692,10.11.20 klo 04.33.22 ip.,4.395,98.046,,,,,,
2693,10.11.20 klo 05.03.22 ip.,3.923,98.974,,,,,,
2694,10.11.20 klo 05.33.22 ip.,3.966,98.339,,,,,,
2695,10.11.20 klo 06.03.22 ip.,3.579,100.000,,,,,,
2696,10.11.20 klo 06.33.22 ip.,3.451,99.023,,,,,,
2697,10.11.20 klo 07.03.22 ip.,3.193,100.000,,,,,,
2698,10.11.20 klo 07.33.22 ip.,3.279,100.000,,,,,,
2699,10.11.20 klo 08.03.22 ip.,3.236,100.000,,,,,,
2700,10.11.20 klo 08.33.22 ip.,3.150,100.000,,,,,,
2701,10.11.20 klo 09.03.22 ip.,3.193,100.000,,,,,,
2702,10.11.20 klo 09.33.22 ip.,3.108,100.000,,,,,,
2703,10.11.20 klo 10.03.22 ip.,3.022,100.000,,,,,,
2704,10.11.20 klo 10.33.22 ip.,3.022,100.000,,,,,,
2705,10.11.20 klo 11.03.22 ip.,3.022,100.000,,,,,,
2706,10.11.20 klo 11.33.22 ip.,2.936,100.000,,,,,,
2707,10.12.20 klo 12.03.22 ap.,2.807,100.000,,,,,,
2708,10.12.20 klo 12.33.22 ap.,2.807,100.000,,,,,,
2709,10.12.20 klo 01.03.22 ap.,2.893,100.000,,,,,,
2710,10.12.20 klo 01.33.22 ap.,2.850,100.000,,,,,,
2711,10.12.20 klo 02.03.22 ap.,2.721,100.000,,,,,,
2712,10.12.20 klo 02.33.22 ap.,2.764,100.000,,,,,,
2713,10.12.20 klo 03.03.22 ap.,2.764,100.000,,,,,,
2714,10.12.20 klo 03.33.22 ap.,2.764,100.000,,,,,,
2715,10.12.20 klo 04.03.22 ap.,2.721,100.000,,,,,,
2716,10.12.20 klo 04.33.22 ap.,2.636,100.000,,,,,,
2717,10.12.20 klo 05.03.22 ap.,2.593,100.000,,,,,,
2718,10.12.20 klo 05.33.22 ap.,2.550,100.000,,,,,,
2719,10.12.20 klo 06.03.22 ap.,2.507,100.000,,,,,,
2720,10.12.20 klo 06.33.22 ap.,2.464,100.000,,,,,,
2721,10.12.20 klo 07.03.22 ap.,2.507,100.000,,,,,,
2722,10.12.20 klo 07.33.22 ap.,2.421,100.000,,,,,,
2723,10.12.20 klo 08.03.22 ap.,1.649,100.000,,,,,,
2724,10.12.20 klo 08.33.22 ap.,1.778,100.000,,,,,,
2725,10.12.20 klo 09.03.22 ap.,1.906,100.000,,,,,,
2726,10.12.20 klo 09.33.22 ap.,2.078,100.000,,,,,,
2727,10.12.20 klo 10.03.22 ap.,2.292,100.000,,,,,,
2728,10.12.20 klo 10.33.22 ap.,2.335,100.000,,,,,,
2729,10.12.20 klo 11.03.22 ap.,2.292,100.000,,,,,,
2730,10.12.20 klo 11.33.22 ap.,2.421,100.000,,,,,,
2731,10.12.20 klo 12.03.22 ip.,2.292,100.000,,,,,,
2732,10.12.20 klo 12.33.22 ip.,2.507,100.000,,,,,,
2733,10.12.20 klo 01.03.22 ip.,2.679,99.414,,,,,,
2734,10.12.20 klo 01.33.22 ip.,2.936,100.000,,,,,,
2735,10.12.20 klo 02.03.22 ip.,3.065,97.216,,,,,,
2736,10.12.20 klo 02.33.22 ip.,3.022,99.658,,,,,,
2737,10.12.20 klo 03.03.22 ip.,2.679,100.000,,,,,,
2738,10.12.20 klo 03.33.22 ip.,2.807,99.853,,,,,,
2739,10.12.20 klo 04.03.22 ip.,2.679,100.000,,,,,,
2740,10.12.20 klo 04.33.22 ip.,2.679,100.000,,,,,,
2741,10.12.20 klo 05.03.22 ip.,2.464,99.658,,,,,,
2742,10.12.20 klo 05.33.22 ip.,2.335,100.000,,,,,,
2743,10.12.20 klo 06.03.22 ip.,2.035,100.000,,,,,,
2744,10.12.20 klo 06.33.22 ip.,1.735,100.000,,,,,,
2745,10.12.20 klo 07.03.22 ip.,1.692,96.288,,,,,,
2746,10.12.20 klo 07.33.22 ip.,1.391,99.707,,,,,,
2747,10.12.20 klo 08.03.22 ip.,0.920,100.000,,,,,,
2748,10.12.20 klo 08.33.22 ip.,0.405,100.000,,,,,,
2749,10.12.20 klo 09.03.22 ip.,0.062,100.000,,,,,,
2750,10.12.20 klo 09.33.22 ip.,-0.110,100.000,,,,,,
2751,10.12.20 klo 10.03.22 ip.,0.319,100.000,,,,,,
2752,10.12.20 klo 10.33.22 ip.,0.362,100.000,,,,,,
2753,10.12.20 klo 11.03.22 ip.,0.448,100.000,,,,,,
2754,10.12.20 klo 11.33.22 ip.,0.533,100.000,,,,,,
2755,10.13.20 klo 12.03.22 ap.,0.362,100.000,,,,,,
2756,10.13.20 klo 12.33.22 ap.,0.362,100.000,,,,,,
2757,10.13.20 klo 01.03.22 ap.,0.362,100.000,,,,,,
2758,10.13.20 klo 01.33.22 ap.,0.319,100.000,,,,,,
2759,10.13.20 klo 02.03.22 ap.,0.233,100.000,,,,,,
2760,10.13.20 klo 02.33.22 ap.,0.062,100.000,,,,,,
2761,10.13.20 klo 03.03.22 ap.,0.104,96.728,,,,,,
2762,10.13.20 klo 03.33.22 ap.,-0.024,99.634,,,,,,
2763,10.13.20 klo 04.03.22 ap.,-0.239,99.829,,,,,,
2764,10.13.20 klo 04.33.22 ap.,-0.282,98.974,,,,,,
2765,10.13.20 klo 05.03.22 ap.,-0.496,99.267,,,,,,
2766,10.13.20 klo 05.33.22 ap.,-0.110,92.747,,,,,,
2767,10.13.20 klo 06.03.22 ap.,-0.539,100.000,,,,,,
2768,10.13.20 klo 06.33.22 ap.,0.019,86.300,,,,,,
2769,10.13.20 klo 07.03.22 ap.,-0.067,84.054,,,,,,
2770,10.13.20 klo 07.33.22 ap.,-0.067,83.639,,,,,,
2771,10.13.20 klo 08.03.22 ap.,0.019,83.516,,,,,,
2772,10.13.20 klo 08.33.22 ap.,-0.410,85.739,,,,,,
2773,10.13.20 klo 09.03.22 ap.,-1.183,94.261,,,,,,
2774,10.13.20 klo 09.33.22 ap.,-1.054,93.236,,,,,,
2775,10.13.20 klo 10.03.22 ap.,-1.097,95.458,,,,,,
2776,10.13.20 klo 10.33.22 ap.,2.078,85.226,,,,,,
2777,10.13.20 klo 11.03.22 ap.,1.520,86.569,,,,,,
2778,10.13.20 klo 11.33.22 ap.,1.091,88.303,,,,,,
2779,10.13.20 klo 12.03.22 ip.,1.949,84.005,,,,,,
2780,10.13.20 klo 12.33.22 ip.,4.266,76.850,,,,,,
2781,10.13.20 klo 01.03.22 ip.,4.352,73.065,,,,,,
2782,10.13.20 klo 01.33.22 ip.,3.751,76.166,,,,,,
2783,10.13.20 klo 02.03.22 ip.,1.692,79.463,,,,,,
2784,10.13.20 klo 02.33.22 ip.,1.220,78.266,,,,,,
2785,10.13.20 klo 03.03.22 ip.,1.220,74.603,,,,,,
2786,10.13.20 klo 03.33.22 ip.,0.019,80.879,,,,,,
2787,10.13.20 klo 04.03.22 ip.,0.104,82.051,,,,,,
2788,10.13.20 klo 04.33.22 ip.,0.147,79.023,,,,,,
2789,10.13.20 klo 05.03.22 ip.,0.276,82.198,,,,,,
2790,10.13.20 klo 05.33.22 ip.,0.233,84.591,,,,,,
2791,10.13.20 klo 06.03.22 ip.,0.104,85.153,,,,,,
2792,10.13.20 klo 06.33.22 ip.,-0.067,86.935,,,,,,
2793,10.13.20 klo 07.03.22 ip.,-0.110,86.569,,,,,,
2794,10.13.20 klo 07.33.22 ip.,-0.325,87.179,,,,,,
2795,10.13.20 klo 08.03.22 ip.,-0.410,90.208,,,,,,
2796,10.13.20 klo 08.33.22 ip.,-0.282,90.427,,,,,,
2797,10.13.20 klo 09.03.22 ip.,-0.367,90.476,,,,,,
2798,10.13.20 klo 09.33.22 ip.,-0.410,91.355,,,,,,
2799,10.13.20 klo 10.03.22 ip.,-0.410,91.184,,,,,,
2800,10.13.20 klo 10.33.22 ip.,-0.539,92.821,,,,,,
2801,10.13.20 klo 11.03.22 ip.,-0.496,93.138,,,,,,
2802,10.13.20 klo 11.33.22 ip.,-0.453,92.332,,,,,,
2803,10.14.20 klo 12.03.22 ap.,-0.668,92.991,,,,,,
2804,10.14.20 klo 12.33.22 ap.,-0.711,92.552,,,,,,
2805,10.14.20 klo 01.03.22 ap.,-1.440,94.652,,,,,,
2806,10.14.20 klo 01.33.22 ap.,-0.711,91.868,,,,,,
2807,10.14.20 klo 02.03.22 ap.,-0.796,92.137,,,,,,
2808,10.14.20 klo 02.33.22 ap.,-1.826,95.214,,,,,,
2809,10.14.20 klo 03.03.22 ap.,-1.697,94.725,,,,,,
2810,10.14.20 klo 03.33.22 ap.,-1.054,92.112,,,,,,
2811,10.14.20 klo 04.03.22 ap.,-0.496,89.109,,,,,,
2812,10.14.20 klo 04.33.22 ap.,-0.496,88.791,,,,,,
2813,10.14.20 klo 05.03.22 ap.,-0.325,88.547,,,,,,
2814,10.14.20 klo 05.33.22 ap.,-0.110,87.009,,,,,,
2815,10.14.20 klo 06.03.22 ap.,-0.024,88.718,,,,,,
2816,10.14.20 klo 06.33.22 ap.,0.104,88.352,,,,,,
2817,10.14.20 klo 07.03.22 ap.,0.362,88.376,,,,,,
2818,10.14.20 klo 07.33.22 ap.,-0.067,91.697,,,,,,
2819,10.14.20 klo 08.03.22 ap.,0.019,91.819,,,,,,
2820,10.14.20 klo 08.33.22 ap.,0.319,96.654,,,,,,
2821,10.14.20 klo 09.03.22 ap.,0.104,100.000,,,,,,
2822,10.14.20 klo 09.33.22 ap.,0.019,100.000,,,,,,
2823,10.14.20 klo 10.03.22 ap.,0.190,100.000,,,,,,
2824,10.14.20 klo 10.33.22 ap.,0.448,100.000,,,,,,
2825,10.14.20 klo 11.03.22 ap.,0.491,100.000,,,,,,
2826,10.14.20 klo 11.33.22 ap.,0.662,100.000,,,,,,
