"Plot Title:  20849239"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849239, SEN S/N: 20849239)","RH, % (LGR S/N: 20849239, SEN S/N: 20849239)","Coupler Detached (LGR S/N: 20849239)","Bad Battery (LGR S/N: 20849239)","Coupler Attached (LGR S/N: 20849239)","Host Connected (LGR S/N: 20849239)","Stopped (LGR S/N: 20849239)","End Of File (LGR S/N: 20849239)"
276,08.22.20 klo 08.33.22 ap.,13.103,95.311,,,,,,
277,08.22.20 klo 09.03.22 ap.,13.404,94.139,,,,,,
278,08.22.20 klo 09.33.22 ap.,13.361,94.603,,,,,,
279,08.22.20 klo 10.03.22 ap.,13.404,94.945,,,,,,
280,08.22.20 klo 10.33.22 ap.,13.876,93.480,,,,,,
281,08.22.20 klo 11.03.22 ap.,14.648,89.548,,,,,,
282,08.22.20 klo 11.33.22 ap.,15.205,86.911,,,,,,
283,08.22.20 klo 12.03.22 ip.,14.605,90.427,,,,,,
284,08.22.20 klo 12.33.22 ip.,14.562,90.720,,,,,,
285,08.22.20 klo 01.03.22 ip.,14.734,90.134,,,,,,
286,08.22.20 klo 01.33.22 ip.,14.562,91.551,,,,,,
287,08.22.20 klo 02.03.22 ip.,14.433,92.112,,,,,,
288,08.22.20 klo 02.33.22 ip.,15.291,88.938,,,,,,
289,08.22.20 klo 03.03.22 ip.,18.852,73.187,,,,,,
290,08.22.20 klo 03.33.22 ip.,18.637,70.989,,,,,,
291,08.22.20 klo 04.03.22 ip.,18.337,72.210,,,,,,
292,08.22.20 klo 04.33.22 ip.,18.123,72.698,,,,,,
293,08.22.20 klo 05.03.22 ip.,18.809,70.891,,,,,,
294,08.22.20 klo 05.33.22 ip.,16.793,77.216,,,,,,
295,08.22.20 klo 06.03.22 ip.,16.407,79.487,,,,,,
296,08.22.20 klo 06.33.22 ip.,15.677,81.319,,,,,,
297,08.22.20 klo 07.03.22 ip.,14.390,91.770,,,,,,
298,08.22.20 klo 07.33.22 ip.,13.918,97.534,,,,,,
299,08.22.20 klo 08.03.22 ip.,13.961,97.436,,,,,,
300,08.22.20 klo 08.33.22 ip.,14.047,95.873,,,,,,
301,08.22.20 klo 09.03.22 ip.,14.090,95.092,,,,,,
302,08.22.20 klo 09.33.22 ip.,13.404,100.000,,,,,,
303,08.22.20 klo 10.03.22 ip.,13.404,100.000,,,,,,
304,08.22.20 klo 10.33.22 ip.,13.318,100.000,,,,,,
305,08.22.20 klo 11.03.22 ip.,13.189,99.805,,,,,,
306,08.22.20 klo 11.33.22 ip.,13.189,100.000,,,,,,
307,08.23.20 klo 12.03.22 ap.,12.975,100.000,,,,,,
308,08.23.20 klo 12.33.22 ap.,12.846,100.000,,,,,,
309,08.23.20 klo 01.03.22 ap.,12.760,100.000,,,,,,
310,08.23.20 klo 01.33.22 ap.,12.760,100.000,,,,,,
311,08.23.20 klo 02.03.22 ap.,12.460,100.000,,,,,,
312,08.23.20 klo 02.33.22 ap.,12.417,100.000,,,,,,
313,08.23.20 klo 03.03.22 ap.,12.202,100.000,,,,,,
314,08.23.20 klo 03.33.22 ap.,12.288,100.000,,,,,,
315,08.23.20 klo 04.03.22 ap.,11.859,100.000,,,,,,
316,08.23.20 klo 04.33.22 ap.,11.602,100.000,,,,,,
317,08.23.20 klo 05.03.22 ap.,11.516,100.000,,,,,,
318,08.23.20 klo 05.33.22 ap.,11.430,100.000,,,,,,
319,08.23.20 klo 06.03.22 ap.,11.344,100.000,,,,,,
320,08.23.20 klo 06.33.22 ap.,11.516,100.000,,,,,,
321,08.23.20 klo 07.03.22 ap.,11.430,100.000,,,,,,
322,08.23.20 klo 07.33.22 ap.,11.559,100.000,,,,,,
323,08.23.20 klo 08.03.22 ap.,11.816,100.000,,,,,,
324,08.23.20 klo 08.33.22 ap.,12.159,100.000,,,,,,
325,08.23.20 klo 09.03.22 ap.,11.988,100.000,,,,,,
326,08.23.20 klo 09.33.22 ap.,12.374,100.000,,,,,,
327,08.23.20 klo 10.03.22 ap.,13.961,97.485,,,,,,
328,08.23.20 klo 10.33.22 ap.,13.318,98.950,,,,,,
329,08.23.20 klo 11.03.22 ap.,13.189,99.121,,,,,,
330,08.23.20 klo 11.33.22 ap.,13.618,99.121,,,,,,
331,08.23.20 klo 12.03.22 ip.,14.090,97.021,,,,,,
332,08.23.20 klo 12.33.22 ip.,14.305,96.532,,,,,,
333,08.23.20 klo 01.03.22 ip.,14.862,88.449,,,,,,
334,08.23.20 klo 01.33.22 ip.,14.862,88.694,,,,,,
335,08.23.20 klo 02.03.22 ip.,14.905,86.911,,,,,,
336,08.23.20 klo 02.33.22 ip.,15.120,84.591,,,,,,
337,08.23.20 klo 03.03.22 ip.,15.420,81.465,,,,,,
338,08.23.20 klo 03.33.22 ip.,14.776,84.469,,,,,,
339,08.23.20 klo 04.03.22 ip.,13.918,87.155,,,,,,
340,08.23.20 klo 04.33.22 ip.,13.489,88.474,,,,,,
341,08.23.20 klo 05.03.22 ip.,12.503,99.316,,,,,,
342,08.23.20 klo 05.33.22 ip.,11.945,100.000,,,,,,
343,08.23.20 klo 06.03.22 ip.,11.773,100.000,,,,,,
344,08.23.20 klo 06.33.22 ip.,11.645,100.000,,,,,,
345,08.23.20 klo 07.03.22 ip.,11.645,100.000,,,,,,
346,08.23.20 klo 07.33.22 ip.,11.816,100.000,,,,,,
347,08.23.20 klo 08.03.22 ip.,11.516,100.000,,,,,,
348,08.23.20 klo 08.33.22 ip.,11.301,100.000,,,,,,
349,08.23.20 klo 09.03.22 ip.,11.044,100.000,,,,,,
350,08.23.20 klo 09.33.22 ip.,11.087,100.000,,,,,,
351,08.23.20 klo 10.03.22 ip.,10.915,100.000,,,,,,
352,08.23.20 klo 10.33.22 ip.,10.701,100.000,,,,,,
353,08.23.20 klo 11.03.22 ip.,10.658,100.000,,,,,,
354,08.23.20 klo 11.33.22 ip.,9.800,100.000,,,,,,
355,08.24.20 klo 12.03.22 ap.,9.371,100.000,,,,,,
356,08.24.20 klo 12.33.22 ap.,8.985,100.000,,,,,,
357,08.24.20 klo 01.03.22 ap.,8.770,100.000,,,,,,
358,08.24.20 klo 01.33.22 ap.,8.427,100.000,,,,,,
359,08.24.20 klo 02.03.22 ap.,8.170,100.000,,,,,,
360,08.24.20 klo 02.33.22 ap.,7.912,100.000,,,,,,
361,08.24.20 klo 03.03.22 ap.,7.698,100.000,,,,,,
362,08.24.20 klo 03.33.22 ap.,7.569,100.000,,,,,,
363,08.24.20 klo 04.03.22 ap.,7.398,100.000,,,,,,
364,08.24.20 klo 04.33.22 ap.,7.183,100.000,,,,,,
365,08.24.20 klo 05.03.22 ap.,7.011,100.000,,,,,,
366,08.24.20 klo 05.33.22 ap.,6.926,100.000,,,,,,
367,08.24.20 klo 06.03.22 ap.,6.711,100.000,,,,,,
368,08.24.20 klo 06.33.22 ap.,6.625,100.000,,,,,,
369,08.24.20 klo 07.03.22 ap.,6.282,100.000,,,,,,
370,08.24.20 klo 07.33.22 ap.,6.153,100.000,,,,,,
