"Plot Title:  20849260"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20849260, SEN S/N: 20849260, LBL: AT)","RH, % (LGR S/N: 20849260, SEN S/N: 20849260, LBL: RH)","Coupler Detached (LGR S/N: 20849260)","Bad Battery (LGR S/N: 20849260)","Coupler Attached (LGR S/N: 20849260)","Host Connected (LGR S/N: 20849260)","Stopped (LGR S/N: 20849260)","End Of File (LGR S/N: 20849260)"
111,07.22.20 klo 07.00.00 ip.,21.383,48.742,,,,,,
112,07.22.20 klo 07.30.00 ip.,21.340,48.718,,,,,,
113,07.22.20 klo 08.00.00 ip.,21.297,48.669,,,,,,
114,07.22.20 klo 08.30.00 ip.,21.297,48.694,,,,,,
115,07.22.20 klo 09.00.00 ip.,21.254,48.645,,,,,,
116,07.22.20 klo 09.30.00 ip.,21.211,48.645,,,,,,
117,07.22.20 klo 10.00.00 ip.,21.211,48.571,,,,,,
118,07.22.20 klo 10.30.00 ip.,21.169,48.547,,,,,,
119,07.22.20 klo 11.00.00 ip.,21.126,48.474,,,,,,
120,07.22.20 klo 11.30.00 ip.,21.040,48.449,,,,,,
121,07.23.20 klo 12.00.00 ap.,21.040,48.425,,,,,,
122,07.23.20 klo 12.30.00 ap.,20.997,48.376,,,,,,
123,07.23.20 klo 01.00.00 ap.,20.997,48.352,,,,,,
124,07.23.20 klo 01.30.00 ap.,20.997,48.327,,,,,,
125,07.23.20 klo 02.00.00 ap.,20.997,48.352,,,,,,
126,07.23.20 klo 02.30.00 ap.,20.997,48.327,,,,,,
127,07.23.20 klo 03.00.00 ap.,20.911,48.303,,,,,,
128,07.23.20 klo 03.30.00 ap.,20.911,48.278,,,,,,
129,07.23.20 klo 04.00.00 ap.,20.954,48.205,,,,,,
130,07.23.20 klo 04.30.00 ap.,20.954,48.230,,,,,,
131,07.23.20 klo 05.00.00 ap.,20.911,48.230,,,,,,
132,07.23.20 klo 05.30.00 ap.,20.911,48.303,,,,,,
133,07.23.20 klo 06.00.00 ap.,20.911,48.327,,,,,,
134,07.23.20 klo 06.30.00 ap.,20.911,48.254,,,,,,
135,07.23.20 klo 07.00.00 ap.,20.868,48.254,,,,,,
136,07.23.20 klo 07.30.00 ap.,20.911,48.254,,,,,,
137,07.23.20 klo 08.00.00 ap.,20.868,48.205,,,,,,
138,07.23.20 klo 08.30.00 ap.,20.868,48.254,,,,,,
139,07.23.20 klo 09.00.00 ap.,20.868,48.230,,,,,,
140,07.23.20 klo 09.30.00 ap.,20.868,48.156,,,,,,
141,07.23.20 klo 10.00.00 ap.,20.825,48.205,,,,,,
142,07.23.20 klo 10.30.00 ap.,20.782,48.181,,,,,,
143,07.23.20 klo 11.00.00 ap.,20.825,48.132,,,,,,
144,07.23.20 klo 11.30.00 ap.,20.782,48.132,,,,,,
145,07.23.20 klo 12.00.00 ip.,20.825,48.132,,,,,,
146,07.23.20 klo 12.30.00 ip.,20.825,48.107,,,,,,
147,07.23.20 klo 01.00.00 ip.,20.782,48.083,,,,,,
148,07.23.20 klo 01.30.00 ip.,20.868,48.132,,,,,,
149,07.23.20 klo 02.00.00 ip.,20.825,48.107,,,,,,
150,07.23.20 klo 02.30.00 ip.,20.911,48.107,,,,,,
151,07.23.20 klo 03.00.00 ip.,20.911,48.132,,,,,,
152,07.23.20 klo 03.30.00 ip.,20.868,48.107,,,,,,
153,07.23.20 klo 04.00.00 ip.,20.911,48.083,,,,,,
154,07.23.20 klo 04.30.00 ip.,20.868,48.083,,,,,,
155,07.23.20 klo 05.00.00 ip.,20.911,48.059,,,,,,
156,07.23.20 klo 05.30.00 ip.,20.911,48.010,,,,,,
157,07.23.20 klo 06.00.00 ip.,20.868,48.059,,,,,,
158,07.23.20 klo 06.30.00 ip.,20.825,48.034,,,,,,
159,07.23.20 klo 07.00.00 ip.,20.868,48.010,,,,,,
160,07.23.20 klo 07.30.00 ip.,20.868,48.010,,,,,,
161,07.23.20 klo 08.00.00 ip.,20.868,47.985,,,,,,
162,07.23.20 klo 08.30.00 ip.,20.825,47.961,,,,,,
163,07.23.20 klo 09.00.00 ip.,20.868,47.961,,,,,,
164,07.23.20 klo 09.30.00 ip.,20.868,47.937,,,,,,
165,07.23.20 klo 10.00.00 ip.,20.782,47.912,,,,,,
166,07.23.20 klo 10.30.00 ip.,20.825,47.888,,,,,,
167,07.23.20 klo 11.00.00 ip.,20.782,47.863,,,,,,
168,07.23.20 klo 11.30.00 ip.,20.825,47.839,,,,,,
169,07.24.20 klo 12.00.00 ap.,20.825,47.839,,,,,,
170,07.24.20 klo 12.30.00 ap.,20.868,47.814,,,,,,
171,07.24.20 klo 01.00.00 ap.,20.825,47.814,,,,,,
172,07.24.20 klo 01.30.00 ap.,20.825,47.839,,,,,,
173,07.24.20 klo 02.00.00 ap.,20.825,47.839,,,,,,
174,07.24.20 klo 02.30.00 ap.,20.868,47.814,,,,,,
175,07.24.20 klo 03.00.00 ap.,20.825,47.790,,,,,,
176,07.24.20 klo 03.30.00 ap.,20.868,47.766,,,,,,
177,07.24.20 klo 04.00.00 ap.,20.868,47.766,,,,,,
178,07.24.20 klo 04.30.00 ap.,20.868,47.766,,,,,,
179,07.24.20 klo 05.00.00 ap.,20.868,47.766,,,,,,
180,07.24.20 klo 05.30.00 ap.,20.868,47.741,,,,,,
181,07.24.20 klo 06.00.00 ap.,20.868,47.717,,,,,,
182,07.24.20 klo 06.30.00 ap.,20.911,47.717,,,,,,
183,07.24.20 klo 07.00.00 ap.,20.954,47.717,,,,,,
184,07.24.20 klo 07.30.00 ap.,20.911,47.668,,,,,,
185,07.24.20 klo 08.00.00 ap.,20.911,47.717,,,,,,
186,07.24.20 klo 08.30.00 ap.,20.911,47.668,,,,,,
187,07.24.20 klo 09.00.00 ap.,20.911,47.668,,,,,,
188,07.24.20 klo 09.30.00 ap.,20.911,47.619,,,,,,
189,07.24.20 klo 10.00.00 ap.,20.911,47.619,,,,,,
190,07.24.20 klo 10.30.00 ap.,20.911,47.595,,,,,,
191,07.24.20 klo 11.00.00 ap.,20.868,47.643,,,,,,
192,07.24.20 klo 11.30.00 ap.,20.911,47.643,,,,,,
193,07.24.20 klo 12.00.00 ip.,20.911,47.643,,,,,,
194,07.24.20 klo 12.30.00 ip.,20.954,47.619,,,,,,
195,07.24.20 klo 01.00.00 ip.,20.997,47.668,,,,,,
196,07.24.20 klo 01.30.00 ip.,20.997,47.619,,,,,,
197,07.24.20 klo 02.00.00 ip.,20.997,47.643,,,,,,
198,07.24.20 klo 02.30.00 ip.,20.997,47.668,,,,,,
199,07.24.20 klo 03.00.00 ip.,21.040,47.619,,,,,,
200,07.24.20 klo 03.30.00 ip.,21.040,47.643,,,,,,
201,07.24.20 klo 04.00.00 ip.,21.040,47.668,,,,,,
202,07.24.20 klo 04.30.00 ip.,21.040,47.643,,,,,,
203,07.24.20 klo 05.00.00 ip.,21.040,47.717,,,,,,
204,07.24.20 klo 05.30.00 ip.,21.040,47.643,,,,,,
205,07.24.20 klo 06.00.00 ip.,21.040,47.643,,,,,,
206,07.24.20 klo 06.30.00 ip.,20.997,47.643,,,,,,
207,07.24.20 klo 07.00.00 ip.,20.997,47.643,,,,,,
208,07.24.20 klo 07.30.00 ip.,20.997,47.692,,,,,,
209,07.24.20 klo 08.00.00 ip.,20.954,47.668,,,,,,
210,07.24.20 klo 08.30.00 ip.,20.997,47.643,,,,,,
211,07.24.20 klo 09.00.00 ip.,20.997,47.643,,,,,,
212,07.24.20 klo 09.30.00 ip.,20.997,47.643,,,,,,
213,07.24.20 klo 10.00.00 ip.,21.040,47.619,,,,,,
214,07.24.20 klo 10.30.00 ip.,21.040,47.643,,,,,,
215,07.24.20 klo 11.00.00 ip.,21.083,47.668,,,,,,
216,07.24.20 klo 11.30.00 ip.,21.040,47.643,,,,,,
217,07.25.20 klo 12.00.00 ap.,21.040,47.692,,,,,,
218,07.25.20 klo 12.30.00 ap.,21.040,47.668,,,,,,
219,07.25.20 klo 01.00.00 ap.,21.040,47.668,,,,,,
220,07.25.20 klo 01.30.00 ap.,21.083,47.717,,,,,,
221,07.25.20 klo 02.00.00 ap.,21.040,47.717,,,,,,
222,07.25.20 klo 02.30.00 ap.,21.040,47.717,,,,,,
223,07.25.20 klo 03.00.00 ap.,21.083,47.741,,,,,,
224,07.25.20 klo 03.30.00 ap.,21.126,47.790,,,,,,
225,07.25.20 klo 04.00.00 ap.,21.126,47.863,,,,,,
226,07.25.20 klo 04.30.00 ap.,21.169,47.888,,,,,,
227,07.25.20 klo 05.00.00 ap.,21.211,47.888,,,,,,
