"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
3254,10.16.20 klo 08.09.19 ap.,-1.483,100.000,,
3255,10.16.20 klo 08.39.19 ap.,-1.440,100.000,,
3256,10.16.20 klo 09.09.19 ap.,-1.440,100.000,,
3257,10.16.20 klo 09.39.19 ap.,-1.440,100.000,,
3258,10.16.20 klo 10.09.19 ap.,-1.612,100.000,,
3259,10.16.20 klo 10.39.19 ap.,-1.569,100.000,,
3260,10.16.20 klo 11.09.19 ap.,-1.268,100.000,,
3261,10.16.20 klo 11.39.19 ap.,-1.140,100.000,,
3262,10.16.20 klo 12.09.19 ip.,-0.925,100.000,,
3263,10.16.20 klo 12.39.19 ip.,-0.882,100.000,,
3264,10.16.20 klo 01.09.19 ip.,-0.754,100.000,,
3265,10.16.20 klo 01.39.19 ip.,-0.582,100.000,,
3266,10.16.20 klo 02.09.19 ip.,-0.625,100.000,,
3267,10.16.20 klo 02.39.19 ip.,-0.839,100.000,,
3268,10.16.20 klo 03.09.19 ip.,-0.754,100.000,,
3269,10.16.20 klo 03.39.19 ip.,-0.968,100.000,,
3270,10.16.20 klo 04.09.19 ip.,-1.054,100.000,,
3271,10.16.20 klo 04.39.19 ip.,-1.397,100.000,,
3272,10.16.20 klo 05.09.19 ip.,-1.526,100.000,,
3273,10.16.20 klo 05.39.19 ip.,-1.654,100.000,,
3274,10.16.20 klo 06.09.19 ip.,-1.740,100.000,,
3275,10.16.20 klo 06.39.19 ip.,-1.783,100.000,,
3276,10.16.20 klo 07.09.19 ip.,-1.826,100.000,,
3277,10.16.20 klo 07.39.19 ip.,-1.826,100.000,,
3278,10.16.20 klo 08.09.19 ip.,-1.783,100.000,,
3279,10.16.20 klo 08.39.19 ip.,-1.783,100.000,,
3280,10.16.20 klo 09.09.19 ip.,-1.783,100.000,,
3281,10.16.20 klo 09.39.19 ip.,-1.826,100.000,,
3282,10.16.20 klo 10.09.19 ip.,-1.569,100.000,,
3283,10.16.20 klo 10.39.19 ip.,-1.612,100.000,,
3284,10.16.20 klo 11.09.19 ip.,-1.697,100.000,,
3285,10.16.20 klo 11.39.19 ip.,-1.697,100.000,,
3286,10.17.20 klo 12.09.19 ap.,-1.783,100.000,,
3287,10.17.20 klo 12.39.19 ap.,-1.697,100.000,,
3288,10.17.20 klo 01.09.19 ap.,-1.612,100.000,,
3289,10.17.20 klo 01.39.19 ap.,-1.526,100.000,,
3290,10.17.20 klo 02.09.19 ap.,-1.483,100.000,,
3291,10.17.20 klo 02.39.19 ap.,-1.397,100.000,,
3292,10.17.20 klo 03.09.19 ap.,-1.311,100.000,,
3293,10.17.20 klo 03.39.19 ap.,-1.268,100.000,,
3294,10.17.20 klo 04.09.19 ap.,-1.440,100.000,,
3295,10.17.20 klo 04.39.19 ap.,-1.612,100.000,,
3296,10.17.20 klo 05.09.19 ap.,-1.697,100.000,,
3297,10.17.20 klo 05.39.19 ap.,-1.783,100.000,,
3298,10.17.20 klo 06.09.19 ap.,-2.169,100.000,,
3299,10.17.20 klo 06.39.19 ap.,-3.027,100.000,,
3300,10.17.20 klo 07.09.19 ap.,-3.242,100.000,,
3301,10.17.20 klo 07.39.19 ap.,-3.757,100.000,,
3302,10.17.20 klo 08.09.19 ap.,-4.057,100.000,,
3303,10.17.20 klo 08.39.19 ap.,-4.186,100.000,,
3304,10.17.20 klo 09.09.19 ap.,-4.486,100.000,,
3305,10.17.20 klo 09.39.19 ap.,-4.786,100.000,,
3306,10.17.20 klo 10.09.19 ap.,-5.001,100.000,,
3307,10.17.20 klo 10.39.19 ap.,-5.086,100.000,,
3308,10.17.20 klo 11.09.19 ap.,-5.129,100.000,,
3309,10.17.20 klo 11.39.19 ap.,-5.086,100.000,,
3310,10.17.20 klo 12.09.19 ip.,-5.215,100.000,,
3311,10.17.20 klo 12.39.19 ip.,-5.430,100.000,,
3312,10.17.20 klo 01.09.19 ip.,-5.773,99.829,,
3313,10.17.20 klo 01.39.19 ip.,-5.944,99.609,,
3314,10.17.20 klo 02.09.19 ip.,-6.030,99.292,,
3315,10.17.20 klo 02.39.19 ip.,-6.116,99.219,,
3316,10.17.20 klo 03.09.19 ip.,-6.245,99.096,,
3317,10.17.20 klo 03.39.19 ip.,-6.288,99.292,,
3318,10.17.20 klo 04.09.19 ip.,-6.373,99.194,,
3319,10.17.20 klo 04.39.19 ip.,-6.459,99.438,,
3320,10.17.20 klo 05.09.19 ip.,-6.502,99.756,,
3321,10.17.20 klo 05.39.19 ip.,-6.588,99.365,,
3322,10.17.20 klo 06.09.19 ip.,-6.545,99.365,,
3323,10.17.20 klo 06.39.19 ip.,-6.974,98.950,,
3324,10.17.20 klo 07.09.19 ip.,-7.060,98.706,,
3325,10.17.20 klo 07.39.19 ip.,-7.403,98.291,,
3326,10.17.20 klo 08.09.19 ip.,-7.532,98.901,,
3327,10.17.20 klo 08.39.19 ip.,-7.489,98.779,,
3328,10.17.20 klo 09.09.19 ip.,-7.532,98.486,,
3329,10.17.20 klo 09.39.19 ip.,-7.575,98.120,,
3330,10.17.20 klo 10.09.19 ip.,-7.189,98.657,,
3331,10.17.20 klo 10.39.19 ip.,-6.845,98.632,,
3332,10.17.20 klo 11.09.19 ip.,-6.416,98.559,,
3333,10.17.20 klo 11.39.19 ip.,-6.459,98.535,,
3334,10.18.20 klo 12.09.19 ap.,-6.116,97.851,,
3335,10.18.20 klo 12.39.19 ap.,-6.073,97.387,,
3336,10.18.20 klo 01.09.19 ap.,-5.902,96.996,,
3337,10.18.20 klo 01.39.19 ap.,-5.902,96.435,,
3338,10.18.20 klo 02.09.19 ap.,-6.073,94.921,,
3339,10.18.20 klo 02.39.19 ap.,-6.545,95.409,,
3340,10.18.20 klo 03.09.19 ap.,-6.631,95.604,,
3341,10.18.20 klo 03.39.19 ap.,-7.060,95.971,,
3342,10.18.20 klo 04.09.19 ap.,-6.717,94.921,,
3343,10.18.20 klo 04.39.19 ap.,-5.644,94.359,,
3344,10.18.20 klo 05.09.19 ap.,-5.515,95.531,,
3345,10.18.20 klo 05.39.19 ap.,-5.601,94.701,,
3346,10.18.20 klo 06.09.19 ap.,-5.558,94.921,,
3347,10.18.20 klo 06.39.19 ap.,-6.030,96.557,,
3348,10.18.20 klo 07.09.19 ap.,-6.459,93.724,,
3349,10.18.20 klo 07.39.19 ap.,-6.459,93.895,,
3350,10.18.20 klo 08.09.19 ap.,-6.545,94.408,,
3351,10.18.20 klo 08.39.19 ap.,-6.717,95.311,,
3352,10.18.20 klo 09.09.19 ap.,-6.631,95.653,,
3353,10.18.20 klo 09.39.19 ap.,-6.416,94.188,,
3354,10.18.20 klo 10.09.19 ap.,-6.159,92.332,,
3355,10.18.20 klo 10.39.19 ap.,-6.116,94.017,,
3356,10.18.20 klo 11.09.19 ap.,-5.987,92.283,,
3357,10.18.20 klo 11.39.19 ap.,-5.773,92.576,,
3358,10.18.20 klo 12.09.19 ip.,-5.730,93.602,,
3359,10.18.20 klo 12.39.19 ip.,-5.944,94.847,,
3360,10.18.20 klo 01.09.19 ip.,-5.902,94.750,,
3361,10.18.20 klo 01.39.19 ip.,-5.902,94.799,,
3362,10.18.20 klo 02.09.19 ip.,-5.301,93.309,,
3363,10.18.20 klo 02.39.19 ip.,-5.215,93.162,,
3364,10.18.20 klo 03.09.19 ip.,-5.644,94.212,,
3365,10.18.20 klo 03.39.19 ip.,-5.515,93.846,,
3366,10.18.20 klo 04.09.19 ip.,-5.773,94.847,,
3367,10.18.20 klo 04.39.19 ip.,-5.944,96.068,,
3368,10.18.20 klo 05.09.19 ip.,-6.159,97.241,,
3369,10.18.20 klo 05.39.19 ip.,-6.459,97.558,,
3370,10.18.20 klo 06.09.19 ip.,-6.502,98.413,,
3371,10.18.20 klo 06.39.19 ip.,-6.631,98.657,,
3372,10.18.20 klo 07.09.19 ip.,-6.588,97.289,,
3373,10.18.20 klo 07.39.19 ip.,-6.459,97.998,,
3374,10.18.20 klo 08.09.19 ip.,-6.588,98.657,,
3375,10.18.20 klo 08.39.19 ip.,-6.545,98.168,,
3376,10.18.20 klo 09.09.19 ip.,-6.545,98.608,,
3377,10.18.20 klo 09.39.19 ip.,-6.288,97.900,,
3378,10.18.20 klo 10.09.19 ip.,-6.373,99.145,,
3379,10.18.20 klo 10.39.19 ip.,-6.288,99.756,,
3380,10.18.20 klo 11.09.19 ip.,-6.502,99.878,,
3381,10.18.20 klo 11.39.19 ip.,-6.459,98.779,,
3382,10.19.20 klo 12.09.19 ap.,-6.545,99.072,,
3383,10.19.20 klo 12.39.19 ap.,-6.717,99.512,,
3384,10.19.20 klo 01.09.19 ap.,-6.459,99.487,,
3385,10.19.20 klo 01.39.19 ap.,-5.902,98.388,,
3386,10.19.20 klo 02.09.19 ap.,-6.116,98.974,,
3387,10.19.20 klo 02.39.19 ap.,-6.416,100.000,,
3388,10.19.20 klo 03.09.19 ap.,-6.502,100.000,,
3389,10.19.20 klo 03.39.19 ap.,-6.502,100.000,,
3390,10.19.20 klo 04.09.19 ap.,-6.545,100.000,,
3391,10.19.20 klo 04.39.19 ap.,-6.674,99.683,,
3392,10.19.20 klo 05.09.19 ap.,-6.802,99.902,,
3393,10.19.20 klo 05.39.19 ap.,-6.931,100.000,,
3394,10.19.20 klo 06.09.19 ap.,-6.588,99.927,,
3395,10.19.20 klo 06.39.19 ap.,-6.331,99.487,,
3396,10.19.20 klo 07.09.19 ap.,-6.116,99.023,,
3397,10.19.20 klo 07.39.19 ap.,-5.987,98.657,,
3398,10.19.20 klo 08.09.19 ap.,-5.730,99.853,,
3399,10.19.20 klo 08.39.19 ap.,-5.644,99.560,,
3400,10.19.20 klo 09.09.19 ap.,-5.773,100.000,,
3401,10.19.20 klo 09.39.19 ap.,-5.944,100.000,,
3402,10.19.20 klo 10.09.19 ap.,-6.073,100.000,,
3403,10.19.20 klo 10.39.19 ap.,-6.073,99.878,,
3404,10.19.20 klo 11.09.19 ap.,-5.773,99.683,,
3405,10.19.20 klo 11.39.19 ap.,-5.387,99.389,,
3406,10.19.20 klo 12.09.19 ip.,-5.430,99.145,,
3407,10.19.20 klo 12.39.19 ip.,-4.958,99.341,,
3408,10.19.20 klo 01.09.19 ip.,-4.615,99.365,,
3409,10.19.20 klo 01.39.19 ip.,-4.014,96.728,,
3410,10.19.20 klo 02.09.19 ip.,-5.044,95.458,,
3411,10.19.20 klo 02.39.19 ip.,-5.473,94.652,,
3412,10.19.20 klo 03.09.19 ip.,-5.558,91.966,,
3413,10.19.20 klo 03.39.19 ip.,-5.344,89.084,,
3414,10.19.20 klo 04.09.19 ip.,-5.387,88.034,,
3415,10.19.20 klo 04.39.19 ip.,-5.387,87.692,,
3416,10.19.20 klo 05.09.19 ip.,-5.644,88.596,,
3417,10.19.20 klo 05.39.19 ip.,-6.760,93.089,,
3418,10.19.20 klo 06.09.19 ip.,-7.961,98.168,,
3419,10.19.20 klo 06.39.19 ip.,-6.931,94.530,,
3420,10.19.20 klo 07.09.19 ip.,-7.961,95.971,,
3421,10.19.20 klo 07.39.19 ip.,-8.347,97.143,,
3422,10.19.20 klo 08.09.19 ip.,-8.218,95.604,,
3423,10.19.20 klo 08.39.19 ip.,-8.304,95.702,,
3424,10.19.20 klo 09.09.19 ip.,-8.261,96.190,,
3425,10.19.20 klo 09.39.19 ip.,-8.004,95.751,,
3426,10.19.20 klo 10.09.19 ip.,-8.433,95.531,,
3427,10.19.20 klo 10.39.19 ip.,-8.476,96.606,,
3428,10.19.20 klo 11.09.19 ip.,-8.261,97.338,,
3429,10.19.20 klo 11.39.19 ip.,-7.918,95.897,,
3430,10.20.20 klo 12.09.19 ap.,-7.360,95.018,,
3431,10.20.20 klo 12.39.19 ap.,-7.532,93.773,,
3432,10.20.20 klo 01.09.19 ap.,-7.231,92.943,,
3433,10.20.20 klo 01.39.19 ap.,-7.317,94.261,,
3434,10.20.20 klo 02.09.19 ap.,-6.931,93.431,,
3435,10.20.20 klo 02.39.19 ap.,-7.875,96.117,,
3436,10.20.20 klo 03.09.19 ap.,-7.231,94.921,,
3437,10.20.20 klo 03.39.19 ap.,-7.618,93.748,,
3438,10.20.20 klo 04.09.19 ap.,-7.274,94.847,,
3439,10.20.20 klo 04.39.19 ap.,-7.060,94.432,,
3440,10.20.20 klo 05.09.19 ap.,-5.944,94.115,,
3441,10.20.20 klo 05.39.19 ap.,-6.674,92.967,,
3442,10.20.20 klo 06.09.19 ap.,-5.687,93.529,,
3443,10.20.20 klo 06.39.19 ap.,-5.730,94.872,,
3444,10.20.20 klo 07.09.19 ap.,-5.001,96.777,,
3445,10.20.20 klo 07.39.19 ap.,-5.430,95.678,,
3446,10.20.20 klo 08.09.19 ap.,-5.172,100.000,,
3447,10.20.20 klo 08.39.19 ap.,-4.915,100.000,,
3448,10.20.20 klo 09.09.19 ap.,-4.872,100.000,,
3449,10.20.20 klo 09.39.19 ap.,-4.443,100.000,,
3450,10.20.20 klo 10.09.19 ap.,-4.486,100.000,,
3451,10.20.20 klo 10.39.19 ap.,-4.271,100.000,,
3452,10.20.20 klo 11.09.19 ap.,-3.842,100.000,,
3453,10.20.20 klo 11.39.19 ap.,-3.971,97.998,,
3454,10.20.20 klo 12.09.19 ip.,-4.186,98.388,,
3455,10.20.20 klo 12.39.19 ip.,-4.529,99.805,,
3456,10.20.20 klo 01.09.19 ip.,-4.014,96.361,,
3457,10.20.20 klo 01.39.19 ip.,-4.400,97.485,,
3458,10.20.20 klo 02.09.19 ip.,-4.228,96.068,,
3459,10.20.20 klo 02.39.19 ip.,-4.743,97.143,,
3460,10.20.20 klo 03.09.19 ip.,-4.657,96.435,,
3461,10.20.20 klo 03.39.19 ip.,-5.558,99.365,,
3462,10.20.20 klo 04.09.19 ip.,-5.859,97.729,,
3463,10.20.20 klo 04.39.19 ip.,-6.245,99.853,,
3464,10.20.20 klo 05.09.19 ip.,-6.631,100.000,,
3465,10.20.20 klo 05.39.19 ip.,-6.331,100.000,,
3466,10.20.20 klo 06.09.19 ip.,-6.802,99.756,,
3467,10.20.20 klo 06.39.19 ip.,-6.931,100.000,,
3468,10.20.20 klo 07.09.19 ip.,-7.103,100.000,,
3469,10.20.20 klo 07.39.19 ip.,-7.403,100.000,,
3470,10.20.20 klo 08.09.19 ip.,-8.776,97.241,,
3471,10.20.20 klo 08.39.19 ip.,-7.789,100.000,,
3472,10.20.20 klo 09.09.19 ip.,-9.248,98.828,,
3473,10.20.20 klo 09.39.19 ip.,-9.248,97.680,,
3474,10.20.20 klo 10.09.19 ip.,-8.862,100.000,,
3475,10.20.20 klo 10.39.19 ip.,-10.106,97.094,,
3476,10.20.20 klo 11.09.19 ip.,-9.677,94.554,,
3477,10.20.20 klo 11.39.19 ip.,-9.634,96.068,,
3478,10.21.20 klo 12.09.19 ap.,-9.205,98.632,,
3479,10.21.20 klo 12.39.19 ap.,-8.990,98.706,,
3480,10.21.20 klo 01.09.19 ap.,-8.990,98.095,,
3481,10.21.20 klo 01.39.19 ap.,-9.377,97.753,,
3482,10.21.20 klo 02.09.19 ap.,-10.363,97.900,,
3483,10.21.20 klo 02.39.19 ap.,-10.063,97.436,,
3484,10.21.20 klo 03.09.19 ap.,-9.934,98.339,,
3485,10.21.20 klo 03.39.19 ap.,-9.334,98.803,,
3486,10.21.20 klo 04.09.19 ap.,-9.505,98.291,,
3487,10.21.20 klo 04.39.19 ap.,-8.561,100.000,,
3488,10.21.20 klo 05.09.19 ap.,-7.618,99.145,,
3489,10.21.20 klo 05.39.19 ap.,-7.403,99.414,,
3490,10.21.20 klo 06.09.19 ap.,-7.274,99.145,,
3491,10.21.20 klo 06.39.19 ap.,-7.231,98.901,,
3492,10.21.20 klo 07.09.19 ap.,-7.189,98.999,,
3493,10.21.20 klo 07.39.19 ap.,-6.974,99.414,,
3494,10.21.20 klo 08.09.19 ap.,-7.146,99.560,,
3495,10.21.20 klo 08.39.19 ap.,-7.274,99.048,,
3496,10.21.20 klo 09.09.19 ap.,-7.317,99.023,,
3497,10.21.20 klo 09.39.19 ap.,-7.017,98.803,,
3498,10.21.20 klo 10.09.19 ap.,-7.103,97.680,,
3499,10.21.20 klo 10.39.19 ap.,-6.760,98.022,,
3500,10.21.20 klo 11.09.19 ap.,-6.802,97.534,,
3501,10.21.20 klo 11.39.19 ap.,-6.888,97.045,,
3502,10.21.20 klo 12.09.19 ip.,-6.974,96.361,,
3503,10.21.20 klo 12.39.19 ip.,-6.674,96.313,,
3504,10.21.20 klo 01.09.19 ip.,-6.631,96.093,,
3505,10.21.20 klo 01.39.19 ip.,-6.974,96.532,,
3506,10.21.20 klo 02.09.19 ip.,-6.802,96.874,,
3507,10.21.20 klo 02.39.19 ip.,-6.802,97.143,,
3508,10.21.20 klo 03.09.19 ip.,-7.146,96.972,,
3509,10.21.20 klo 03.39.19 ip.,-6.888,97.118,,
3510,10.21.20 klo 04.09.19 ip.,-7.017,97.802,,
3511,10.21.20 klo 04.39.19 ip.,-7.403,97.485,,
3512,10.21.20 klo 05.09.19 ip.,-7.789,98.364,,
3513,10.21.20 klo 05.39.19 ip.,-7.832,98.242,,
3514,10.21.20 klo 06.09.19 ip.,-8.047,98.413,,
3515,10.21.20 klo 06.39.19 ip.,-8.175,98.437,,
3516,10.21.20 klo 07.09.19 ip.,-8.004,98.706,,
3517,10.21.20 klo 07.39.19 ip.,-8.647,98.022,,
3518,10.21.20 klo 08.09.19 ip.,-8.733,98.608,,
3519,10.21.20 klo 08.39.19 ip.,-8.690,97.509,,
3520,10.21.20 klo 09.09.19 ip.,-8.990,97.827,,
3521,10.21.20 klo 09.39.19 ip.,-8.476,98.071,,
3522,10.21.20 klo 10.09.19 ip.,-8.089,97.998,,
3523,10.21.20 klo 10.39.19 ip.,-8.004,98.242,,
3524,10.21.20 klo 11.09.19 ip.,-7.961,98.559,,
3525,10.21.20 klo 11.39.19 ip.,-8.604,97.582,,
3526,10.22.20 klo 12.09.19 ap.,-8.690,97.924,,
3527,10.22.20 klo 12.39.19 ap.,-8.304,98.266,,
3528,10.22.20 klo 01.09.19 ap.,-8.304,98.291,,
3529,10.22.20 klo 01.39.19 ap.,-8.261,98.315,,
3530,10.22.20 klo 02.09.19 ap.,-8.347,97.949,,
3531,10.22.20 klo 02.39.19 ap.,-8.604,97.729,,
3532,10.22.20 klo 03.09.19 ap.,-9.205,97.045,,
3533,10.22.20 klo 03.39.19 ap.,-9.334,97.363,,
3534,10.22.20 klo 04.09.19 ap.,-9.377,96.996,,
3535,10.22.20 klo 04.39.19 ap.,-8.476,98.730,,
3536,10.22.20 klo 05.09.19 ap.,-9.677,98.413,,
3537,10.22.20 klo 05.39.19 ap.,-9.848,97.729,,
3538,10.22.20 klo 06.09.19 ap.,-10.192,96.996,,
3539,10.22.20 klo 06.39.19 ap.,-10.320,96.337,,
3540,10.22.20 klo 07.09.19 ap.,-10.664,96.630,,
3541,10.22.20 klo 07.39.19 ap.,-10.664,96.777,,
3542,10.22.20 klo 08.09.19 ap.,-10.578,96.557,,
3543,10.22.20 klo 08.39.19 ap.,-10.535,96.484,,
3544,10.22.20 klo 09.09.19 ap.,-10.235,96.972,,
3545,10.22.20 klo 09.39.19 ap.,-10.192,96.215,,
3546,10.22.20 klo 10.09.19 ap.,-10.149,96.410,,
3547,10.22.20 klo 10.39.19 ap.,-10.020,96.313,,
3548,10.22.20 klo 11.09.19 ap.,-9.462,95.653,,
3549,10.22.20 klo 11.39.19 ap.,-9.419,95.556,,
3550,10.22.20 klo 12.09.19 ip.,-9.291,94.921,,
3551,10.22.20 klo 12.39.19 ip.,-8.948,94.115,,
3552,10.22.20 klo 01.09.19 ip.,-8.990,94.652,,
3553,10.22.20 klo 01.39.19 ip.,-8.990,94.042,,
3554,10.22.20 klo 02.09.19 ip.,-8.733,94.457,,
3555,10.22.20 klo 02.39.19 ip.,-8.690,95.580,,
3556,10.22.20 klo 03.09.19 ip.,-8.433,95.946,,
3557,10.22.20 klo 03.39.19 ip.,-8.261,96.239,,
3558,10.22.20 klo 04.09.19 ip.,-8.047,97.094,,
3559,10.22.20 klo 04.39.19 ip.,-7.961,97.387,,
3560,10.22.20 klo 05.09.19 ip.,-7.918,98.217,,
3561,10.22.20 klo 05.39.19 ip.,-7.703,98.632,,
3562,10.22.20 klo 06.09.19 ip.,-7.446,98.926,,
3563,10.22.20 klo 06.39.19 ip.,-7.317,99.121,,
3564,10.22.20 klo 07.09.19 ip.,-7.060,99.267,,
3565,10.22.20 klo 07.39.19 ip.,-6.888,99.267,,
3566,10.22.20 klo 08.09.19 ip.,-6.802,99.292,,
3567,10.22.20 klo 08.39.19 ip.,-6.717,99.316,,
3568,10.22.20 klo 09.09.19 ip.,-6.631,99.560,,
3569,10.22.20 klo 09.39.19 ip.,-6.459,99.536,,
3570,10.22.20 klo 10.09.19 ip.,-6.416,99.536,,
3571,10.22.20 klo 10.39.19 ip.,-6.416,99.560,,
3572,10.22.20 klo 11.09.19 ip.,-6.459,99.438,,
3573,10.22.20 klo 11.39.19 ip.,-6.545,99.414,,
3574,10.23.20 klo 12.09.19 ap.,-6.545,99.414,,
3575,10.23.20 klo 12.39.19 ap.,-6.588,99.487,,
3576,10.23.20 klo 01.09.19 ap.,-6.588,99.463,,
3577,10.23.20 klo 01.39.19 ap.,-6.545,99.414,,
3578,10.23.20 klo 02.09.19 ap.,-6.545,99.414,,
3579,10.23.20 klo 02.39.19 ap.,-6.631,99.463,,
3580,10.23.20 klo 03.09.19 ap.,-6.717,99.292,,
3581,10.23.20 klo 03.39.19 ap.,-6.674,99.341,,
3582,10.23.20 klo 04.09.19 ap.,-6.674,99.365,,
3583,10.23.20 klo 04.39.19 ap.,-6.674,99.487,,
3584,10.23.20 klo 05.09.19 ap.,-6.802,99.316,,
3585,10.23.20 klo 05.39.19 ap.,-6.888,99.292,,
3586,10.23.20 klo 06.09.19 ap.,-6.888,99.219,,
3587,10.23.20 klo 06.39.19 ap.,-6.974,99.048,,
3588,10.23.20 klo 07.09.19 ap.,-7.060,99.023,,
3589,10.23.20 klo 07.39.19 ap.,-7.146,99.096,,
3590,10.23.20 klo 08.09.19 ap.,-7.017,99.219,,
3591,10.23.20 klo 08.39.19 ap.,-7.017,98.999,,
3592,10.23.20 klo 09.09.19 ap.,-6.931,99.219,,
3593,10.23.20 klo 09.39.19 ap.,-6.760,99.023,,
3594,10.23.20 klo 10.09.19 ap.,-6.674,98.681,,
3595,10.23.20 klo 10.39.19 ap.,-6.331,98.095,,
3596,10.23.20 klo 11.09.19 ap.,-6.245,97.656,,
3597,10.23.20 klo 11.39.19 ap.,-6.202,97.314,,
3598,10.23.20 klo 12.09.19 ip.,-6.159,97.192,,
3599,10.23.20 klo 12.39.19 ip.,-6.159,96.996,,
3600,10.23.20 klo 01.09.19 ip.,-6.159,97.582,,
3601,10.23.20 klo 01.39.19 ip.,-5.601,96.947,,
3602,10.23.20 klo 02.09.19 ip.,-5.086,96.410,,
3603,10.23.20 klo 02.39.19 ip.,-5.344,97.143,,
3604,10.23.20 klo 03.09.19 ip.,-5.687,98.730,,
3605,10.23.20 klo 03.39.19 ip.,-5.773,98.926,,
3606,10.23.20 klo 04.09.19 ip.,-5.816,99.194,,
3607,10.23.20 klo 04.39.19 ip.,-5.687,99.853,,
3608,10.23.20 klo 05.09.19 ip.,-5.601,100.000,,
3609,10.23.20 klo 05.39.19 ip.,-5.601,99.951,,
3610,10.23.20 klo 06.09.19 ip.,-5.515,100.000,,
3611,10.23.20 klo 06.39.19 ip.,-5.387,100.000,,
3612,10.23.20 klo 07.09.19 ip.,-5.344,100.000,,
3613,10.23.20 klo 07.39.19 ip.,-5.129,100.000,,
3614,10.23.20 klo 08.09.19 ip.,-4.958,100.000,,
3615,10.23.20 klo 08.39.19 ip.,-4.443,100.000,,
3616,10.23.20 klo 09.09.19 ip.,-4.443,100.000,,
3617,10.23.20 klo 09.39.19 ip.,-4.014,100.000,,
3618,10.23.20 klo 10.09.19 ip.,-3.757,100.000,,
3619,10.23.20 klo 10.39.19 ip.,-3.199,100.000,,
3620,10.23.20 klo 11.09.19 ip.,-3.328,100.000,,
3621,10.23.20 klo 11.39.19 ip.,-3.671,100.000,,
3622,10.24.20 klo 12.09.19 ap.,-3.370,100.000,,
3623,10.24.20 klo 12.39.19 ap.,-3.585,100.000,,
3624,10.24.20 klo 01.09.19 ap.,-3.842,100.000,,
3625,10.24.20 klo 01.39.19 ap.,-3.885,100.000,,
3626,10.24.20 klo 02.09.19 ap.,-3.370,100.000,,
3627,10.24.20 klo 02.39.19 ap.,-3.757,100.000,,
3628,10.24.20 klo 03.09.19 ap.,-3.928,100.000,,
3629,10.24.20 klo 03.39.19 ap.,-3.671,100.000,,
3630,10.24.20 klo 04.09.19 ap.,-3.585,100.000,,
3631,10.24.20 klo 04.39.19 ap.,-3.799,100.000,,
3632,10.24.20 klo 05.09.19 ap.,-3.842,100.000,,
3633,10.24.20 klo 05.39.19 ap.,-3.842,100.000,,
3634,10.24.20 klo 06.09.19 ap.,-3.757,100.000,,
3635,10.24.20 klo 06.39.19 ap.,-3.671,100.000,,
3636,10.24.20 klo 07.09.19 ap.,-3.842,100.000,,
3637,10.24.20 klo 07.39.19 ap.,-3.885,100.000,,
3638,10.24.20 klo 08.09.19 ap.,-3.671,100.000,,
3639,10.24.20 klo 08.39.19 ap.,-3.757,100.000,,
3640,10.24.20 klo 09.09.19 ap.,-3.671,100.000,,
3641,10.24.20 klo 09.39.19 ap.,-3.585,100.000,,
3642,10.24.20 klo 10.09.19 ap.,-3.671,100.000,,
3643,10.24.20 klo 10.39.19 ap.,-3.499,100.000,,
3644,10.24.20 klo 11.09.19 ap.,-3.199,100.000,,
3645,10.24.20 klo 11.39.19 ap.,-3.113,100.000,,
3646,10.24.20 klo 12.09.19 ip.,-3.199,100.000,,
3647,10.24.20 klo 12.39.19 ip.,-3.156,100.000,,
3648,10.24.20 klo 01.09.19 ip.,-3.156,100.000,,
3649,10.24.20 klo 01.39.19 ip.,-3.328,100.000,,
3650,10.24.20 klo 02.09.19 ip.,-3.285,100.000,,
3651,10.24.20 klo 02.39.19 ip.,-3.671,100.000,,
3652,10.24.20 klo 03.09.19 ip.,-3.285,100.000,,
3653,10.24.20 klo 03.39.19 ip.,-3.328,100.000,,
3654,10.24.20 klo 04.09.19 ip.,-3.027,100.000,,
3655,10.24.20 klo 04.39.19 ip.,-2.941,100.000,,
3656,10.24.20 klo 05.09.19 ip.,-3.027,100.000,,
3657,10.24.20 klo 05.39.19 ip.,-3.027,100.000,,
3658,10.24.20 klo 06.09.19 ip.,-3.027,100.000,,
3659,10.24.20 klo 06.39.19 ip.,-2.984,100.000,,
3660,10.24.20 klo 07.09.19 ip.,-3.027,100.000,,
3661,10.24.20 klo 07.39.19 ip.,-2.941,100.000,,
3662,10.24.20 klo 08.09.19 ip.,-2.813,100.000,,
3663,10.24.20 klo 08.39.19 ip.,-2.813,100.000,,
3664,10.24.20 klo 09.09.19 ip.,-2.856,100.000,,
3665,10.24.20 klo 09.39.19 ip.,-3.070,100.000,,
3666,10.24.20 klo 10.09.19 ip.,-2.984,100.000,,
3667,10.24.20 klo 10.39.19 ip.,-2.899,100.000,,
3668,10.24.20 klo 11.09.19 ip.,-2.899,100.000,,
3669,10.24.20 klo 11.39.19 ip.,-2.770,100.000,,
3670,10.25.20 klo 12.09.19 ap.,-2.727,100.000,,
3671,10.25.20 klo 12.39.19 ap.,-2.727,100.000,,
3672,10.25.20 klo 01.09.19 ap.,-2.641,100.000,,
3673,10.25.20 klo 01.39.19 ap.,-2.770,100.000,,
