"Plot Title:  20864572"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20864572, SEN S/N: 20864572)","RH, % (LGR S/N: 20864572, SEN S/N: 20864572)","Coupler Detached (LGR S/N: 20864572)","End Of File (LGR S/N: 20864572)"
132,08.12.20 klo 07.09.19 ap.,22.155,43.663,,
133,08.12.20 klo 07.39.19 ap.,22.112,43.565,,
134,08.12.20 klo 08.09.19 ap.,22.370,44.518,,
135,08.12.20 klo 08.39.19 ap.,17.694,44.225,,
136,08.12.20 klo 09.09.19 ap.,17.136,47.009,,
137,08.12.20 klo 09.39.19 ap.,18.123,47.155,,
138,08.12.20 klo 10.09.19 ap.,16.235,48.718,,
139,08.12.20 klo 10.39.19 ap.,16.578,53.700,,
140,08.12.20 klo 11.09.19 ap.,17.908,59.683,,
141,08.12.20 klo 11.39.19 ap.,18.809,54.994,,
142,08.12.20 klo 12.09.19 ip.,19.152,58.120,,
143,08.12.20 klo 12.39.19 ip.,18.208,58.535,,
144,08.12.20 klo 01.09.19 ip.,17.522,61.123,,
145,08.12.20 klo 01.39.19 ip.,22.327,57.607,,
146,08.12.20 klo 02.09.19 ip.,26.102,53.822,,
147,08.12.20 klo 02.39.19 ip.,23.314,42.662,,
148,08.12.20 klo 03.09.19 ip.,23.914,40.391,,
149,08.12.20 klo 03.39.19 ip.,21.254,38.193,,
150,08.12.20 klo 04.09.19 ip.,20.096,44.249,,
151,08.12.20 klo 04.39.19 ip.,21.512,44.371,,
152,08.12.20 klo 05.09.19 ip.,21.340,44.542,,
153,08.12.20 klo 05.39.19 ip.,21.040,51.038,,
154,08.12.20 klo 06.09.19 ip.,21.426,49.915,,
155,08.12.20 klo 06.39.19 ip.,21.683,50.134,,
156,08.12.20 klo 07.09.19 ip.,23.743,52.943,,
157,08.12.20 klo 07.39.19 ip.,24.300,51.111,,
158,08.12.20 klo 08.09.19 ip.,24.558,49.841,,
159,08.12.20 klo 08.39.19 ip.,24.000,45.031,,
160,08.12.20 klo 09.09.19 ip.,22.756,45.055,,
161,08.12.20 klo 09.39.19 ip.,22.584,44.835,,
162,08.12.20 klo 10.09.19 ip.,22.498,45.031,,
163,08.12.20 klo 10.39.19 ip.,22.541,45.153,,
164,08.12.20 klo 11.09.19 ip.,22.541,45.226,,
165,08.12.20 klo 11.39.19 ip.,22.456,45.201,,
166,08.13.20 klo 12.09.19 ap.,22.413,45.079,,
167,08.13.20 klo 12.39.19 ap.,22.370,44.957,,
168,08.13.20 klo 01.09.19 ap.,22.327,44.835,,
169,08.13.20 klo 01.39.19 ap.,22.327,44.664,,
170,08.13.20 klo 02.09.19 ap.,22.327,44.493,,
171,08.13.20 klo 02.39.19 ap.,22.284,44.396,,
172,08.13.20 klo 03.09.19 ap.,22.241,44.225,,
173,08.13.20 klo 03.39.19 ap.,22.241,44.054,,
174,08.13.20 klo 04.09.19 ap.,22.241,43.932,,
175,08.13.20 klo 04.39.19 ap.,22.198,43.736,,
176,08.13.20 klo 05.09.19 ap.,22.198,43.590,,
177,08.13.20 klo 05.39.19 ap.,22.155,43.443,,
178,08.13.20 klo 06.09.19 ap.,22.155,43.321,,
179,08.13.20 klo 06.39.19 ap.,22.155,43.199,,
180,08.13.20 klo 07.09.19 ap.,22.155,43.126,,
181,08.13.20 klo 07.39.19 ap.,22.155,42.955,,
182,08.13.20 klo 08.09.19 ap.,22.327,44.298,,
183,08.13.20 klo 08.39.19 ap.,20.997,44.640,,
184,08.13.20 klo 09.09.19 ap.,19.796,45.470,,
185,08.13.20 klo 09.39.19 ap.,19.538,44.103,,
186,08.13.20 klo 10.09.19 ap.,18.809,44.615,,
187,08.13.20 klo 10.39.19 ap.,18.380,48.083,,
188,08.13.20 klo 11.09.19 ap.,18.037,50.159,,
189,08.13.20 klo 11.39.19 ap.,18.166,51.575,,
190,08.13.20 klo 12.09.19 ip.,17.265,52.405,,
191,08.13.20 klo 12.39.19 ip.,18.552,54.066,,
192,08.13.20 klo 01.09.19 ip.,19.024,54.359,,
193,08.13.20 klo 01.39.19 ip.,17.865,53.138,,
194,08.13.20 klo 02.09.19 ip.,18.466,55.604,,
195,08.13.20 klo 02.39.19 ip.,18.766,54.310,,
196,08.13.20 klo 03.09.19 ip.,19.624,52.674,,
