"Plot Title: 20854984"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854984, SEN S/N: 20854984)","RH, % (LGR S/N: 20854984, SEN S/N: 20854984)","Coupler Detached (LGR S/N: 20854984)","Bad Battery (LGR S/N: 20854984)","Good Battery (LGR S/N: 20854984)","Coupler Attached (LGR S/N: 20854984)","Host Connected (LGR S/N: 20854984)","Stopped (LGR S/N: 20854984)","End Of File (LGR S/N: 20854984)"
277,08.10.20 klo 01.43.35 ip.,12.717,68.767,,,,,,,
278,08.10.20 klo 02.13.35 ip.,12.288,72.283,,,,,,,
279,08.10.20 klo 02.43.35 ip.,12.074,72.430,,,,,,,
280,08.10.20 klo 03.13.35 ip.,12.288,72.210,,,,,,,
281,08.10.20 klo 03.43.35 ip.,11.430,74.017,,,,,,,
282,08.10.20 klo 04.13.35 ip.,14.691,66.764,,,,,,,
283,08.10.20 klo 04.43.35 ip.,12.846,69.451,,,,,,,
284,08.10.20 klo 05.13.35 ip.,11.773,70.085,,,,,,,
285,08.10.20 klo 05.43.35 ip.,12.374,68.987,,,,,,,
286,08.10.20 klo 06.13.35 ip.,12.245,68.205,,,,,,,
287,08.10.20 klo 06.43.35 ip.,11.988,71.209,,,,,,,
288,08.10.20 klo 07.13.35 ip.,12.546,74.115,,,,,,,
289,08.10.20 klo 07.43.35 ip.,12.074,72.576,,,,,,,
290,08.10.20 klo 08.13.35 ip.,11.344,75.043,,,,,,,
291,08.10.20 klo 08.43.35 ip.,10.787,78.681,,,,,,,
292,08.10.20 klo 09.13.35 ip.,10.272,81.343,,,,,,,
293,08.10.20 klo 09.43.35 ip.,10.057,82.686,,,,,,,
294,08.10.20 klo 10.13.35 ip.,9.328,85.250,,,,,,,
295,08.10.20 klo 10.43.35 ip.,8.213,89.231,,,,,,,
296,08.10.20 klo 11.13.35 ip.,7.612,91.697,,,,,,,
297,08.10.20 klo 11.43.35 ip.,7.998,89.768,,,,,,,
298,08.11.20 klo 12.13.35 ap.,7.655,92.430,,,,,,,
299,08.11.20 klo 12.43.35 ap.,6.840,93.993,,,,,,,
300,08.11.20 klo 01.13.35 ap.,6.068,94.676,,,,,,,
301,08.11.20 klo 01.43.35 ap.,6.668,92.552,,,,,,,
302,08.11.20 klo 02.13.35 ap.,6.196,95.751,,,,,,,
303,08.11.20 klo 02.43.35 ap.,4.909,97.680,,,,,,,
304,08.11.20 klo 03.13.35 ap.,4.738,98.120,,,,,,,
305,08.11.20 klo 03.43.35 ap.,5.038,99.341,,,,,,,
306,08.11.20 klo 04.13.35 ap.,5.381,98.755,,,,,,,
307,08.11.20 klo 04.43.35 ap.,5.553,99.121,,,,,,,
308,08.11.20 klo 05.13.35 ap.,5.767,99.414,,,,,,,
309,08.11.20 klo 05.43.35 ap.,6.497,98.388,,,,,,,
310,08.11.20 klo 06.13.35 ap.,6.582,97.680,,,,,,,
311,08.11.20 klo 06.43.35 ap.,6.068,97.460,,,,,,,
312,08.11.20 klo 07.13.35 ap.,6.454,97.778,,,,,,,
313,08.11.20 klo 07.43.35 ap.,6.797,97.021,,,,,,,
314,08.11.20 klo 08.13.35 ap.,8.341,93.431,,,,,,,
315,08.11.20 klo 08.43.35 ap.,10.014,82.173,,,,,,,
316,08.11.20 klo 09.13.35 ap.,11.130,79.878,,,,,,,
317,08.11.20 klo 09.43.35 ap.,11.473,79.683,,,,,,,
318,08.11.20 klo 10.13.35 ap.,12.202,75.849,,,,,,,
319,08.11.20 klo 10.43.35 ap.,13.318,69.768,,,,,,,
320,08.11.20 klo 11.13.35 ap.,15.978,60.440,,,,,,,
321,08.11.20 klo 11.43.35 ap.,15.592,59.512,,,,,,,
322,08.11.20 klo 12.13.35 ip.,16.021,57.265,,,,,,,
323,08.11.20 klo 12.43.35 ip.,16.278,56.777,,,,,,,
324,08.11.20 klo 01.13.35 ip.,18.595,51.917,,,,,,,
325,08.11.20 klo 01.43.35 ip.,20.182,45.153,,,,,,,
326,08.11.20 klo 02.13.35 ip.,21.040,39.731,,,,,,,
327,08.11.20 klo 02.43.35 ip.,21.469,40.562,,,,,,,
328,08.11.20 klo 03.13.35 ip.,22.370,38.681,,,,,,,
329,08.11.20 klo 03.43.35 ip.,21.211,39.976,,,,,,,
330,08.11.20 klo 04.13.35 ip.,20.353,47.497,,,,,,,
331,08.11.20 klo 04.43.35 ip.,19.367,50.989,,,,,,,
332,08.11.20 klo 05.13.35 ip.,21.169,43.004,,,,,,,
333,08.11.20 klo 05.43.35 ip.,19.710,42.418,,,,,,,
334,08.11.20 klo 06.13.35 ip.,18.766,49.548,,,,,,,
335,08.11.20 klo 06.43.35 ip.,19.410,46.691,,,,,,,
336,08.11.20 klo 07.13.35 ip.,16.106,62.637,,,,,,,
337,08.11.20 klo 07.43.35 ip.,14.905,64.811,,,,,,,
338,08.11.20 klo 08.13.35 ip.,13.575,68.816,,,,,,,
339,08.11.20 klo 08.43.35 ip.,12.717,73.504,,,,,,,
340,08.11.20 klo 09.13.35 ip.,11.473,76.361,,,,,,,
341,08.11.20 klo 09.43.35 ip.,10.830,79.829,,,,,,,
342,08.11.20 klo 10.13.35 ip.,10.272,82.173,,,,,,,
343,08.11.20 klo 10.43.35 ip.,9.929,83.663,,,,,,,
344,08.11.20 klo 11.13.35 ip.,9.972,82.906,,,,,,,
345,08.11.20 klo 11.43.35 ip.,9.714,84.762,,,,,,,
346,08.12.20 klo 12.13.35 ap.,9.628,85.592,,,,,,,
347,08.12.20 klo 12.43.35 ap.,9.328,87.595,,,,,,,
348,08.12.20 klo 01.13.35 ap.,9.543,86.471,,,,,,,
349,08.12.20 klo 01.43.35 ap.,9.328,87.497,,,,,,,
350,08.12.20 klo 02.13.35 ap.,9.671,85.617,,,,,,,
351,08.12.20 klo 02.43.35 ap.,9.414,86.471,,,,,,,
352,08.12.20 klo 03.13.35 ap.,8.942,89.158,,,,,,,
353,08.12.20 klo 03.43.35 ap.,7.912,93.382,,,,,,,
354,08.12.20 klo 04.13.35 ap.,8.213,92.210,,,,,,,
355,08.12.20 klo 04.43.35 ap.,7.655,94.554,,,,,,,
356,08.12.20 klo 05.13.35 ap.,7.612,94.212,,,,,,,
357,08.12.20 klo 05.43.35 ap.,6.840,96.044,,,,,,,
358,08.12.20 klo 06.13.35 ap.,6.711,95.751,,,,,,,
359,08.12.20 klo 06.43.35 ap.,6.926,96.703,,,,,,,
360,08.12.20 klo 07.13.35 ap.,9.028,90.427,,,,,,,
361,08.12.20 klo 07.43.35 ap.,8.899,89.841,,,,,,,
362,08.12.20 klo 08.13.35 ap.,9.114,89.695,,,,,,,
363,08.12.20 klo 08.43.35 ap.,9.886,87.302,,,,,,,
364,08.12.20 klo 09.13.35 ap.,11.001,83.028,,,,,,,
365,08.12.20 klo 09.43.35 ap.,12.803,73.065,,,,,,,
366,08.12.20 klo 10.13.35 ap.,13.446,73.016,,,,,,,
367,08.12.20 klo 10.43.35 ap.,15.120,64.444,,,,,,,
368,08.12.20 klo 11.13.35 ap.,16.621,57.631,,,,,,,
369,08.12.20 klo 11.43.35 ap.,15.077,65.372,,,,,,,
