"Plot Title:  20854980"
"#","Date Time, GMT+03:00","Temp, °C (LGR S/N: 20854980, SEN S/N: 20854980)","RH, % (LGR S/N: 20854980, SEN S/N: 20854980)","Coupler Detached (LGR S/N: 20854980)","Bad Battery (LGR S/N: 20854980)","Good Battery (LGR S/N: 20854980)","Coupler Attached (LGR S/N: 20854980)","Host Connected (LGR S/N: 20854980)","Stopped (LGR S/N: 20854980)","End Of File (LGR S/N: 20854980)"
296,08.09.20 klo 11.06.29 ip.,12.288,42.393,,,,,,,
297,08.09.20 klo 11.36.29 ip.,11.087,43.321,,,,,,,
298,08.10.20 klo 12.06.29 ap.,10.744,43.663,,,,,,,
299,08.10.20 klo 12.36.29 ap.,10.615,43.736,,,,,,,
300,08.10.20 klo 01.06.29 ap.,10.186,43.980,,,,,,,
301,08.10.20 klo 01.36.29 ap.,9.929,44.371,,,,,,,
302,08.10.20 klo 02.06.29 ap.,9.843,44.689,,,,,,,
303,08.10.20 klo 02.36.29 ap.,9.543,45.006,,,,,,,
304,08.10.20 klo 03.06.29 ap.,9.371,45.519,,,,,,,
305,08.10.20 klo 03.36.29 ap.,9.156,45.812,,,,,,,
306,08.10.20 klo 04.06.29 ap.,8.770,45.861,,,,,,,
307,08.10.20 klo 04.36.29 ap.,8.256,46.520,,,,,,,
308,08.10.20 klo 05.06.29 ap.,8.041,46.593,,,,,,,
309,08.10.20 klo 05.36.29 ap.,8.256,46.545,,,,,,,
310,08.10.20 klo 06.06.29 ap.,8.298,46.642,,,,,,,
311,08.10.20 klo 06.36.29 ap.,8.685,46.032,,,,,,,
312,08.10.20 klo 07.06.29 ap.,9.199,45.763,,,,,,,
313,08.10.20 klo 07.36.29 ap.,9.714,45.250,,,,,,,
314,08.10.20 klo 08.06.29 ap.,9.843,45.079,,,,,,,
315,08.10.20 klo 08.36.29 ap.,12.202,50.891,,,,,,,
316,08.10.20 klo 09.06.29 ap.,13.404,47.570,,,,,,,
317,08.10.20 klo 09.36.29 ap.,14.776,47.619,,,,,,,
318,08.10.20 klo 10.06.29 ap.,17.779,45.177,,,,,,,
319,08.10.20 klo 10.36.29 ap.,18.680,43.810,,,,,,,
320,08.10.20 klo 11.06.29 ap.,19.538,42.808,,,,,,,
321,08.10.20 klo 11.36.29 ap.,20.868,42.735,,,,,,,
322,08.10.20 klo 12.06.29 ip.,21.297,40.757,,,,,,,
323,08.10.20 klo 12.36.29 ip.,20.182,41.661,,,,,,,
324,08.10.20 klo 01.06.29 ip.,20.353,41.612,,,,,,,
325,08.10.20 klo 01.36.29 ip.,21.126,41.368,,,,,,,
326,08.10.20 klo 02.06.29 ip.,20.740,41.221,,,,,,,
327,08.10.20 klo 02.36.29 ip.,20.096,41.685,,,,,,,
328,08.10.20 klo 03.06.29 ip.,19.753,42.076,,,,,,,
329,08.10.20 klo 03.36.29 ip.,19.109,42.564,,,,,,,
330,08.10.20 klo 04.06.29 ip.,18.938,43.468,,,,,,,
331,08.10.20 klo 04.36.29 ip.,19.924,41.807,,,,,,,
332,08.10.20 klo 05.06.29 ip.,19.024,42.686,,,,,,,
333,08.10.20 klo 05.36.29 ip.,18.251,48.010,,,,,,,
334,08.10.20 klo 06.06.29 ip.,22.413,40.269,,,,,,,
335,08.10.20 klo 06.36.29 ip.,19.581,46.789,,,,,,,
336,08.10.20 klo 07.06.29 ip.,19.367,47.546,,,,,,,
337,08.10.20 klo 07.36.29 ip.,19.109,47.937,,,,,,,
338,08.10.20 klo 08.06.29 ip.,18.208,48.498,,,,,,,
339,08.10.20 klo 08.36.29 ip.,17.093,49.255,,,,,,,
340,08.10.20 klo 09.06.29 ip.,15.849,50.232,,,,,,,
341,08.10.20 klo 09.36.29 ip.,14.734,50.940,,,,,,,
342,08.10.20 klo 10.06.29 ip.,13.575,51.502,,,,,,,
343,08.10.20 klo 10.36.29 ip.,12.202,52.308,,,,,,,
344,08.10.20 klo 11.06.29 ip.,10.915,52.991,,,,,,,
345,08.10.20 klo 11.36.29 ip.,9.929,53.529,,,,,,,
346,08.11.20 klo 12.06.29 ap.,9.543,53.480,,,,,,,
347,08.11.20 klo 12.36.29 ap.,8.727,53.455,,,,,,,
348,08.11.20 klo 01.06.29 ap.,7.827,53.797,,,,,,,
349,08.11.20 klo 01.36.29 ap.,7.140,54.066,,,,,,,
350,08.11.20 klo 02.06.29 ap.,6.625,54.090,,,,,,,
351,08.11.20 klo 02.36.29 ap.,6.111,54.139,,,,,,,
352,08.11.20 klo 03.06.29 ap.,5.467,54.432,,,,,,,
353,08.11.20 klo 03.36.29 ap.,5.038,54.505,,,,,,,
354,08.11.20 klo 04.06.29 ap.,4.909,54.457,,,,,,,
355,08.11.20 klo 04.36.29 ap.,4.995,54.212,,,,,,,
356,08.11.20 klo 05.06.29 ap.,5.253,53.724,,,,,,,
357,08.11.20 klo 05.36.29 ap.,5.553,53.236,,,,,,,
358,08.11.20 klo 06.06.29 ap.,5.982,52.576,,,,,,,
359,08.11.20 klo 06.36.29 ap.,5.896,52.332,,,,,,,
360,08.11.20 klo 07.06.29 ap.,6.153,52.357,,,,,,,
361,08.11.20 klo 07.36.29 ap.,6.454,52.112,,,,,,,
362,08.11.20 klo 08.06.29 ap.,7.312,51.600,,,,,,,
363,08.11.20 klo 08.36.29 ap.,11.559,57.363,,,,,,,
364,08.11.20 klo 09.06.29 ap.,15.592,49.915,,,,,,,
365,08.11.20 klo 09.36.29 ap.,18.123,48.205,,,,,,,
366,08.11.20 klo 10.06.29 ap.,21.812,45.299,,,,,,,
367,08.11.20 klo 10.36.29 ap.,24.386,43.492,,,,,,,
368,08.11.20 klo 11.06.29 ap.,25.759,43.248,,,,,,,
369,08.11.20 klo 11.36.29 ap.,28.247,40.830,,,,,,,
